date,portfolio_value,benchmark,spread
2024-01-01,1000953.27,993112.79,7840.48
2024-01-02,987471.20,1000460.10,-12988.90
2024-01-03,991574.39,984224.89,7349.51
2024-01-04,996886.83,990473.59,6413.24
2024-01-05,995181.42,997077.90,-1896.48
2024-01-06,997914.76,1009619.37,-11704.61
2024-01-07,1008057.32,1002875.07,5182.26
2024-01-08,1004163.62,1010035.92,-5872.29
2024-01-09,1002511.63,993955.65,8555.98
2024-01-10,1023641.41,996699.23,26942.17
2024-01-11,1028983.43,983667.08,45316.34
2024-01-12,1025890.76,988505.99,37384.77
2024-01-13,1018200.45,994694.55,23505.89
2024-01-14,1032933.23,1009027.70,23905.53
2024-01-15,1036912.03,1004718.75,32193.28
2024-01-16,1051392.77,1011132.35,40260.42
2024-01-17,1028189.49,1007840.24,20349.24
2024-01-18,1033061.20,1012464.03,20597.17
2024-01-19,1037122.44,996564.47,40557.97
2024-01-20,1053401.34,984937.14,68464.20
2024-01-21,1057680.72,988797.96,68882.76
2024-01-22,1070385.86,1007313.60,63072.26
2024-01-23,1072937.63,1007759.09,65178.55
2024-01-24,1099369.32,1007298.96,92070.36
2024-01-25,1091241.67,1013288.68,77953.00
2024-01-26,1096137.94,1018501.67,77636.27
2024-01-27,1081777.27,1027479.39,54297.89
2024-01-28,1069424.68,1015520.52,53904.15
2024-01-29,1045905.33,1013464.87,32440.46
2024-01-30,1016914.96,1018660.52,-1745.56
2024-02-01,1019700.47,1022480.07,-2779.60
2024-02-02,1012750.31,1022967.94,-10217.63
2024-02-03,999695.08,1024349.52,-24654.44
2024-02-04,997345.92,1022126.18,-24780.26
2024-02-05,990033.37,1026454.44,-36421.07
2024-02-06,994526.22,1035464.07,-40937.85
2024-02-07,990951.35,1041872.13,-50920.78
2024-02-08,978018.66,1050709.29,-72690.63
2024-02-09,968027.12,1061391.69,-93364.57
2024-02-10,971352.36,1063696.40,-92344.03
2024-02-11,976187.43,1069819.42,-93631.99
2024-02-12,976702.90,1060629.42,-83926.52
2024-02-13,970150.34,1058464.57,-88314.24
2024-02-14,976256.62,1061979.93,-85723.31
2024-02-15,967854.75,1071858.52,-104003.76
2024-02-16,985478.22,1064622.13,-79143.91
2024-02-17,990610.63,1057041.09,-66430.46
2024-02-18,979041.90,1055204.77,-76162.88
2024-02-19,961532.56,1059876.44,-98343.88
2024-02-20,954766.11,1061850.67,-107084.56
2024-02-21,968954.63,1077415.68,-108461.04
2024-02-22,968366.22,1077950.01,-109583.79
2024-02-23,961344.50,1078443.99,-117099.49
2024-02-24,977939.68,1074162.48,-96222.80
2024-02-25,981310.53,1067592.83,-86282.30
2024-02-26,974943.47,1058856.79,-83913.32
2024-02-27,976584.03,1060239.46,-83655.43
2024-02-28,974377.17,1079390.09,-105012.92
2024-02-29,972180.07,1091804.51,-119624.44
2024-02-30,975497.85,1103905.16,-128407.31
2024-03-01,966682.43,1107514.54,-140832.12
2024-03-02,970160.22,1121540.60,-151380.38
2024-03-03,977033.97,1122813.10,-145779.13
2024-03-04,970949.33,1108074.64,-137125.32
2024-03-05,958914.83,1115403.85,-156489.02
2024-03-06,947024.83,1110722.38,-163697.55
2024-03-07,951887.96,1102727.07,-150839.10
2024-03-08,939219.59,1108534.53,-169314.94
2024-03-09,938166.24,1107605.04,-169438.80
2024-03-10,924241.72,1109452.12,-185210.40
2024-03-11,921633.23,1121470.74,-199837.51
2024-03-12,919147.16,1119657.68,-200510.51
2024-03-13,931893.62,1126716.00,-194822.38
2024-03-14,929482.51,1120015.04,-190532.53
2024-03-15,925440.21,1106427.33,-180987.12
2024-03-16,912858.51,1108085.86,-195227.36
2024-03-17,910089.92,1116974.84,-206884.92
2024-03-18,917407.30,1125733.99,-208326.69
2024-03-19,909051.24,1115659.21,-206607.98
2024-03-20,916010.47,1123901.38,-207890.91
2024-03-21,911384.41,1140908.28,-229523.87
2024-03-22,920768.61,1137340.55,-216571.94
2024-03-23,925820.08,1144256.94,-218436.86
2024-03-24,923627.98,1148542.40,-224914.42
2024-03-25,937619.51,1136806.28,-199186.77
2024-03-26,940465.12,1129447.25,-188982.14
2024-03-27,928644.75,1138835.35,-210190.60
2024-03-28,948696.11,1140843.47,-192147.36
2024-03-29,954285.45,1150506.04,-196220.59
2024-03-30,947431.29,1129043.24,-181611.95
