date,portfolio_value,benchmark,spread
2024-01-01,1001765.77,1011551.99,-9786.22
2024-01-02,1000387.96,1016480.40,-16092.43
2024-01-03,991670.98,1031751.17,-40080.20
2024-01-04,993349.66,1035265.05,-41915.39
2024-01-05,986356.25,1034101.80,-47745.56
2024-01-06,973761.11,1035602.47,-61841.36
2024-01-07,965702.80,1040298.40,-74595.60
2024-01-08,965056.24,1050452.19,-85395.95
2024-01-09,956113.23,1050693.75,-94580.53
2024-01-10,966471.33,1059880.32,-93408.99
2024-01-11,975598.05,1075163.26,-99565.21
2024-01-12,982253.09,1086412.92,-104159.83
2024-01-13,981174.65,1062589.60,-81414.95
2024-01-14,972737.93,1077283.50,-104545.57
2024-01-15,974766.07,1083486.46,-108720.40
2024-01-16,981139.78,1083216.62,-102076.84
2024-01-17,970634.56,1079497.36,-108862.80
2024-01-18,985582.79,1083913.26,-98330.48
2024-01-19,976191.68,1092259.59,-116067.91
2024-01-20,969211.08,1089786.19,-120575.11
2024-01-21,973943.46,1093911.04,-119967.58
2024-01-22,962710.94,1109060.61,-146349.67
2024-01-23,966133.86,1108211.58,-142077.72
2024-01-24,968241.07,1096368.61,-128127.54
2024-01-25,973250.93,1095016.18,-121765.25
2024-01-26,953448.97,1098070.04,-144621.07
2024-01-27,956832.48,1107430.37,-150597.89
2024-01-28,964819.46,1103103.04,-138283.58
2024-01-29,971257.35,1108680.70,-137423.36
2024-01-30,977560.56,1101806.17,-124245.61
2024-02-01,970488.47,1109124.76,-138636.29
2024-02-02,985883.83,1106715.64,-120831.81
2024-02-03,970729.12,1099816.79,-129087.67
2024-02-04,955920.35,1076781.65,-120861.30
2024-02-05,958322.09,1084542.76,-126220.67
2024-02-06,938842.38,1087056.90,-148214.52
2024-02-07,949479.07,1096184.43,-146705.36
2024-02-08,942615.33,1106550.52,-163935.20
2024-02-09,931782.05,1112146.27,-180364.21
2024-02-10,936702.05,1099075.68,-162373.63
2024-02-11,916084.29,1100579.56,-184495.27
2024-02-12,920718.85,1087752.76,-167033.91
2024-02-13,905670.54,1067609.02,-161938.49
2024-02-14,909002.99,1055941.81,-146938.82
2024-02-15,912564.24,1041490.68,-128926.44
2024-02-16,910022.85,1052862.56,-142839.70
2024-02-17,914358.70,1060820.94,-146462.24
2024-02-18,904379.39,1069705.73,-165326.34
2024-02-19,912230.90,1059238.29,-147007.40
2024-02-20,902568.15,1047952.76,-145384.61
2024-02-21,907050.00,1061472.98,-154422.98
2024-02-22,904956.04,1051416.22,-146460.17
2024-02-23,909631.65,1044317.60,-134685.95
2024-02-24,901150.90,1038238.08,-137087.18
2024-02-25,907850.24,1037318.19,-129467.95
2024-02-26,900088.37,1038799.21,-138710.84
2024-02-27,912671.98,1047596.56,-134924.59
2024-02-28,918511.98,1058485.63,-139973.65
2024-02-29,928864.65,1056687.32,-127822.67
2024-02-30,937238.28,1057082.87,-119844.59
2024-03-01,945070.72,1041959.99,-96889.27
2024-03-02,942010.54,1034669.28,-92658.74
2024-03-03,931595.48,1047187.02,-115591.54
2024-03-04,945941.54,1058873.77,-112932.24
2024-03-05,954334.73,1051567.49,-97232.76
2024-03-06,968323.16,1047218.57,-78895.41
2024-03-07,957062.42,1058513.11,-101450.70
2024-03-08,960787.27,1069263.36,-108476.10
2024-03-09,944554.15,1079242.61,-134688.46
2024-03-10,933358.53,1089471.88,-156113.35
2024-03-11,934460.60,1067013.95,-132553.35
2024-03-12,924709.44,1080107.42,-155397.98
2024-03-13,926042.15,1073572.86,-147530.71
2024-03-14,912941.92,1061109.42,-148167.50
2024-03-15,904718.40,1076185.57,-171467.16
2024-03-16,907896.89,1076749.44,-168852.55
2024-03-17,905389.13,1079008.53,-173619.40
2024-03-18,906764.92,1063530.72,-156765.80
2024-03-19,911667.45,1072146.13,-160478.67
2024-03-20,914291.12,1070662.65,-156371.52
2024-03-21,910296.08,1068971.19,-158675.11
2024-03-22,916130.78,1072165.20,-156034.41
2024-03-23,923668.70,1078830.14,-155161.43
2024-03-24,929146.51,1081596.98,-152450.48
2024-03-25,933456.95,1092776.02,-159319.07
2024-03-26,927088.66,1084902.81,-157814.15
2024-03-27,925877.65,1081961.85,-156084.20
2024-03-28,932869.66,1075244.35,-142374.69
2024-03-29,949646.45,1067907.91,-118261.46
2024-03-30,960770.02,1064083.77,-103313.75
