date,portfolio_value,benchmark,spread
2024-01-01,993438.41,990520.77,2917.65
2024-01-02,996502.70,998735.69,-2232.99
2024-01-03,1006583.89,997267.88,9316.01
2024-01-04,1031697.56,1005708.68,25988.88
2024-01-05,1044890.72,1002892.50,41998.22
2024-01-06,1047868.19,1010474.59,37393.60
2024-01-07,1017958.01,1012356.89,5601.12
2024-01-08,999798.27,1000880.33,-1082.06
2024-01-09,989997.59,996748.82,-6751.23
2024-01-10,986668.87,991235.12,-4566.25
2024-01-11,999589.00,979329.72,20259.28
2024-01-12,997809.21,975749.52,22059.68
2024-01-13,1003829.41,983652.41,20177.00
2024-01-14,983356.86,986980.31,-3623.44
2024-01-15,984952.93,977337.68,7615.25
2024-01-16,984618.67,974078.57,10540.10
2024-01-17,981873.42,969821.28,12052.14
2024-01-18,985884.87,969458.57,16426.30
2024-01-19,996173.00,971320.20,24852.79
2024-01-20,997524.51,974957.80,22566.71
2024-01-21,1002090.41,970315.01,31775.40
2024-01-22,1006366.34,980572.80,25793.54
2024-01-23,1031406.80,983686.39,47720.41
2024-01-24,1027079.75,993909.47,33170.28
2024-01-25,1022249.36,990252.24,31997.12
2024-01-26,1033298.45,996106.71,37191.73
2024-01-27,1033439.94,1002687.49,30752.45
2024-01-28,1032335.26,1006553.74,25781.52
2024-01-29,1016105.48,992957.26,23148.21
2024-01-30,1029495.04,1004451.69,25043.35
2024-02-01,1015341.21,1008128.79,7212.43
2024-02-02,1013478.99,1009859.12,3619.88
2024-02-03,1005844.37,1014322.78,-8478.42
2024-02-04,1009477.12,1021110.31,-11633.19
2024-02-05,1014488.18,1022064.77,-7576.58
2024-02-06,1012347.01,1020596.46,-8249.45
2024-02-07,1009111.02,1010366.29,-1255.27
2024-02-08,1012923.22,1002475.55,10447.68
2024-02-09,999564.05,1005074.83,-5510.78
2024-02-10,998797.95,1000687.99,-1890.04
2024-02-11,998883.10,1013149.91,-14266.81
2024-02-12,998138.36,1018964.72,-20826.36
2024-02-13,1003068.02,1032872.50,-29804.48
2024-02-14,1007263.15,1026557.35,-19294.20
2024-02-15,1004627.28,1038670.96,-34043.68
2024-02-16,992022.65,1039887.55,-47864.90
2024-02-17,1005224.77,1038868.27,-33643.50
2024-02-18,997577.27,1020790.50,-23213.23
2024-02-19,994722.78,1014886.59,-20163.81
2024-02-20,1003920.99,1022491.79,-18570.81
2024-02-21,991189.57,1023175.54,-31985.97
2024-02-22,991233.24,1026272.54,-35039.30
2024-02-23,978351.79,1036262.38,-57910.58
2024-02-24,974856.65,1032874.70,-58018.05
2024-02-25,993357.28,1025836.60,-32479.32
2024-02-26,1002171.67,1036411.33,-34239.66
2024-02-27,993724.23,1041339.26,-47615.03
2024-02-28,998390.67,1033135.96,-34745.30
2024-02-29,996601.72,1027093.00,-30491.28
2024-02-30,991198.23,1019513.75,-28315.53
2024-03-01,980348.29,1001953.85,-21605.56
2024-03-02,959187.85,1010421.74,-51233.89
2024-03-03,970225.27,1001217.29,-30992.03
2024-03-04,961944.92,994170.81,-32225.89
2024-03-05,975303.06,1004529.10,-29226.03
2024-03-06,967696.94,1000160.40,-32463.45
2024-03-07,969872.26,991353.60,-21481.34
2024-03-08,963290.32,985675.62,-22385.30
2024-03-09,974529.62,995868.68,-21339.06
2024-03-10,964004.77,995849.09,-31844.32
2024-03-11,977163.27,999986.80,-22823.53
2024-03-12,980018.98,1006174.09,-26155.11
2024-03-13,967453.74,1007355.11,-39901.37
2024-03-14,961497.86,991692.70,-30194.84
2024-03-15,954884.09,995663.52,-40779.42
2024-03-16,972072.09,984219.77,-12147.69
2024-03-17,967473.74,984043.82,-16570.08
2024-03-18,959141.75,979730.86,-20589.11
2024-03-19,967737.31,973757.23,-6019.91
2024-03-20,977703.82,975541.13,2162.69
2024-03-21,968723.77,978084.65,-9360.88
2024-03-22,976420.97,969338.08,7082.90
2024-03-23,960576.83,964095.90,-3519.07
2024-03-24,969156.38,969847.79,-691.41
2024-03-25,961216.45,993658.68,-32442.23
2024-03-26,958862.89,986813.17,-27950.28
2024-03-27,968897.09,979646.35,-10749.26
2024-03-28,960268.26,976279.95,-16011.69
2024-03-29,957156.66,978449.31,-21292.65
2024-03-30,953688.09,976040.85,-22352.76
