date,portfolio_value,benchmark,spread
2024-01-01,1007533.15,993996.42,13536.72
2024-01-02,1017373.33,1001404.48,15968.86
2024-01-03,1017472.22,1004869.72,12602.51
2024-01-04,1011610.25,1005983.41,5626.84
2024-01-05,1035366.19,1010676.93,24689.26
2024-01-06,1025824.09,1004257.24,21566.85
2024-01-07,1051284.97,1016244.53,35040.44
2024-01-08,1054945.33,1019694.42,35250.91
2024-01-09,1051325.64,1022801.46,28524.17
2024-01-10,1055973.71,1025768.45,30205.25
2024-01-11,1052168.65,1020758.89,31409.75
2024-01-12,1043554.29,1012153.68,31400.61
2024-01-13,1037649.04,1009810.22,27838.82
2024-01-14,1025930.08,1002501.79,23428.29
2024-01-15,1028855.16,998497.70,30357.46
2024-01-16,1033391.53,1001383.35,32008.18
2024-01-17,1024640.86,998235.40,26405.46
2024-01-18,1035631.06,1000147.50,35483.55
2024-01-19,1040830.17,994485.24,46344.93
2024-01-20,1066090.31,997300.57,68789.74
2024-01-21,1090557.57,994578.57,95979.00
2024-01-22,1082197.33,985807.00,96390.33
2024-01-23,1083511.54,977855.61,105655.93
2024-01-24,1078410.51,980866.77,97543.74
2024-01-25,1078990.35,972169.85,106820.50
2024-01-26,1094877.81,968799.26,126078.54
2024-01-27,1096804.58,965528.16,131276.42
2024-01-28,1084541.87,968642.92,115898.95
2024-01-29,1092974.40,964937.95,128036.45
2024-01-30,1100407.46,967016.52,133390.94
2024-02-01,1093897.83,968350.96,125546.87
2024-02-02,1104773.05,967163.66,137609.39
2024-02-03,1090393.00,975782.71,114610.29
2024-02-04,1080209.53,973225.02,106984.51
2024-02-05,1087920.28,970806.59,117113.69
2024-02-06,1064609.29,971376.71,93232.58
2024-02-07,1049851.81,966292.06,83559.75
2024-02-08,1046362.00,963398.37,82963.63
2024-02-09,1056096.50,964245.27,91851.22
2024-02-10,1067882.18,940494.99,127387.20
2024-02-11,1062090.13,953819.81,108270.33
2024-02-12,1066417.33,950080.38,116336.96
2024-02-13,1077611.50,952212.49,125399.01
2024-02-14,1077641.07,957801.21,119839.86
2024-02-15,1084261.40,964671.81,119589.60
2024-02-16,1092722.52,952065.85,140656.67
2024-02-17,1110551.76,942490.49,168061.27
2024-02-18,1111324.25,947847.83,163476.41
2024-02-19,1125882.24,937817.00,188065.24
2024-02-20,1123161.04,936586.58,186574.46
2024-02-21,1135552.10,928726.28,206825.83
2024-02-22,1113505.03,916468.05,197036.98
2024-02-23,1103991.28,913438.59,190552.69
2024-02-24,1118534.78,923696.96,194837.81
2024-02-25,1145285.03,916462.41,228822.62
2024-02-26,1166053.58,907363.90,258689.68
2024-02-27,1155804.10,898763.28,257040.82
2024-02-28,1155867.16,895254.64,260612.51
2024-02-29,1154160.48,899108.98,255051.51
2024-02-30,1155802.61,884223.49,271579.12
2024-03-01,1164383.37,884926.50,279456.87
2024-03-02,1178152.22,887452.94,290699.27
2024-03-03,1197981.96,874549.35,323432.61
2024-03-04,1185874.31,882945.30,302929.01
2024-03-05,1192258.45,874259.46,317998.99
2024-03-06,1203457.53,877091.02,326366.51
2024-03-07,1201101.87,883839.77,317262.10
2024-03-08,1214407.25,878115.85,336291.39
2024-03-09,1204089.31,872231.35,331857.96
2024-03-10,1214138.67,874307.14,339831.53
2024-03-11,1229856.88,878450.43,351406.44
2024-03-12,1217673.70,888605.61,329068.09
2024-03-13,1240169.68,881993.71,358175.97
2024-03-14,1232990.73,872849.30,360141.43
2024-03-15,1231749.84,877660.71,354089.13
2024-03-16,1228292.09,882249.81,346042.28
2024-03-17,1251662.05,881306.04,370356.00
2024-03-18,1250161.12,867015.17,383145.95
2024-03-19,1249815.46,864573.72,385241.75
2024-03-20,1257086.45,869666.27,387420.18
2024-03-21,1268168.23,864523.69,403644.53
2024-03-22,1287873.74,867940.92,419932.83
2024-03-23,1281346.41,868961.42,412384.99
2024-03-24,1281828.59,878200.55,403628.03
2024-03-25,1285293.84,875412.19,409881.65
2024-03-26,1272958.50,884791.42,388167.08
2024-03-27,1259334.31,888719.15,370615.15
2024-03-28,1245012.15,897342.48,347669.67
2024-03-29,1234334.64,900983.41,333351.23
2024-03-30,1221498.21,901153.13,320345.08
