date,portfolio_value,benchmark,spread
2024-01-01,1010031.82,999176.77,10855.04
2024-01-02,1029162.90,1004190.10,24972.80
2024-01-03,1018314.23,1006696.53,11617.70
2024-01-04,1007786.48,1009575.09,-1788.61
2024-01-05,989840.30,1000752.31,-10912.01
2024-01-06,984070.35,1008129.45,-24059.11
2024-01-07,979050.89,1017632.71,-38581.82
2024-01-08,962072.69,1010557.41,-48484.72
2024-01-09,946605.56,1011005.35,-64399.79
2024-01-10,949780.39,1015215.74,-65435.36
2024-01-11,961459.24,1007989.59,-46530.35
2024-01-12,977150.49,999705.25,-22554.76
2024-01-13,965900.19,995555.65,-29655.46
2024-01-14,961543.99,992699.70,-31155.71
2024-01-15,976467.82,984530.91,-8063.10
2024-01-16,979510.33,986794.31,-7283.98
2024-01-17,980437.18,988058.11,-7620.94
2024-01-18,955950.70,991571.27,-35620.57
2024-01-19,949118.34,1001902.31,-52783.97
2024-01-20,975192.13,997041.42,-21849.29
2024-01-21,969233.04,997423.30,-28190.27
2024-01-22,961112.32,999577.41,-38465.09
2024-01-23,967102.74,1000719.95,-33617.21
2024-01-24,964651.00,1003969.81,-39318.81
2024-01-25,964429.65,994489.34,-30059.69
2024-01-26,967582.92,1007827.27,-40244.35
2024-01-27,965467.25,1006314.60,-40847.35
2024-01-28,975330.67,1007463.12,-32132.45
2024-01-29,983882.75,998643.13,-14760.38
2024-01-30,974259.15,989883.26,-15624.11
2024-02-01,988646.51,1004424.87,-15778.36
2024-02-02,987931.10,1006618.89,-18687.79
2024-02-03,975546.56,1021907.41,-46360.84
2024-02-04,972584.42,1018891.88,-46307.46
2024-02-05,959814.17,1029114.59,-69300.43
2024-02-06,955311.60,1029752.81,-74441.21
2024-02-07,959983.85,1033151.91,-73168.06
2024-02-08,963922.26,1028878.38,-64956.11
2024-02-09,962150.29,1029734.77,-67584.48
2024-02-10,963387.45,1030990.91,-67603.46
2024-02-11,973741.81,1022397.37,-48655.55
2024-02-12,968427.64,1011324.31,-42896.67
2024-02-13,955352.33,1007283.73,-51931.40
2024-02-14,962081.69,1005468.99,-43387.30
2024-02-15,958131.61,1007314.51,-49182.90
2024-02-16,952948.00,1016130.59,-63182.59
2024-02-17,946401.12,1023347.48,-76946.36
2024-02-18,951275.50,1020337.07,-69061.56
2024-02-19,935758.26,1026285.39,-90527.13
2024-02-20,947452.23,1030278.52,-82826.29
2024-02-21,945976.30,1014285.47,-68309.16
2024-02-22,942351.20,1012743.67,-70392.47
2024-02-23,936149.22,1019288.74,-83139.51
2024-02-24,934720.40,1019634.81,-84914.41
2024-02-25,943713.19,1030339.69,-86626.50
2024-02-26,942135.85,1042104.35,-99968.50
2024-02-27,944369.06,1039177.60,-94808.55
2024-02-28,920177.47,1040024.93,-119847.46
2024-02-29,900004.82,1037976.25,-137971.42
2024-02-30,914903.21,1034916.04,-120012.83
2024-03-01,912257.30,1028572.87,-116315.57
2024-03-02,902534.85,1020387.38,-117852.53
2024-03-03,889639.70,1035670.31,-146030.61
2024-03-04,881768.30,1039742.43,-157974.12
2024-03-05,895633.19,1048162.13,-152528.93
2024-03-06,896688.76,1038153.76,-141465.00
2024-03-07,891053.43,1040480.24,-149426.81
2024-03-08,903184.34,1033922.18,-130737.84
2024-03-09,897243.90,1036115.39,-138871.48
2024-03-10,902219.10,1041102.07,-138882.96
2024-03-11,916326.42,1041781.33,-125454.91
2024-03-12,920783.63,1053160.17,-132376.54
2024-03-13,915850.50,1057780.63,-141930.13
2024-03-14,925559.73,1054583.19,-129023.46
2024-03-15,930747.46,1053875.42,-123127.96
2024-03-16,946140.98,1045090.06,-98949.08
2024-03-17,944686.40,1058435.44,-113749.05
2024-03-18,938787.82,1056162.65,-117374.83
2024-03-19,937768.40,1063029.81,-125261.41
2024-03-20,938302.52,1075721.25,-137418.73
2024-03-21,922919.90,1101663.15,-178743.26
2024-03-22,920685.23,1105357.46,-184672.23
2024-03-23,923337.97,1107750.65,-184412.68
2024-03-24,930576.32,1095930.84,-165354.52
2024-03-25,929241.27,1094758.53,-165517.27
2024-03-26,924042.51,1108720.38,-184677.87
2024-03-27,917355.97,1114656.99,-197301.02
2024-03-28,908945.17,1103488.96,-194543.79
2024-03-29,905384.91,1109629.42,-204244.51
2024-03-30,917479.97,1118783.80,-201303.83
