date,portfolio_value,benchmark,spread
2024-01-01,1011314.91,1005782.90,5532.01
2024-01-02,1017782.34,1006877.10,10905.23
2024-01-03,1021461.15,999386.14,22075.02
2024-01-04,1013396.25,1013616.52,-220.27
2024-01-05,1035035.46,1014627.41,20408.05
2024-01-06,1051523.87,1016495.83,35028.04
2024-01-07,1058148.42,1007740.34,50408.08
2024-01-08,1055070.51,1002027.59,53042.92
2024-01-09,1059008.56,999163.43,59845.12
2024-01-10,1069303.65,997363.22,71940.43
2024-01-11,1074871.45,991672.06,83199.40
2024-01-12,1081050.95,1002679.62,78371.33
2024-01-13,1088931.05,1004621.48,84309.57
2024-01-14,1074369.35,996487.76,77881.59
2024-01-15,1050979.91,991304.51,59675.40
2024-01-16,1056344.24,999202.25,57141.99
2024-01-17,1064100.36,993323.08,70777.28
2024-01-18,1073909.08,1006711.83,67197.25
2024-01-19,1076101.81,995657.98,80443.82
2024-01-20,1073753.86,983392.00,90361.86
2024-01-21,1070517.93,981617.08,88900.85
2024-01-22,1081662.67,984058.78,97603.89
2024-01-23,1074362.13,991604.16,82757.96
2024-01-24,1070995.08,988746.93,82248.15
2024-01-25,1069543.75,994511.76,75031.99
2024-01-26,1059667.38,992953.09,66714.29
2024-01-27,1042383.71,997855.46,44528.25
2024-01-28,1026856.08,995971.28,30884.80
2024-01-29,1020833.96,987774.10,33059.86
2024-01-30,1034100.13,984837.54,49262.60
2024-02-01,1047403.02,996253.07,51149.95
2024-02-02,1051413.75,990939.55,60474.20
2024-02-03,1052797.25,992450.87,60346.38
2024-02-04,1056116.99,995024.33,61092.66
2024-02-05,1055786.20,981874.61,73911.59
2024-02-06,1062773.08,987727.43,75045.65
2024-02-07,1073113.26,980707.91,92405.36
2024-02-08,1083635.12,965000.65,118634.46
2024-02-09,1082884.37,954745.32,128139.05
2024-02-10,1089220.07,956815.48,132404.59
2024-02-11,1098131.38,958918.46,139212.92
2024-02-12,1097994.73,960696.56,137298.17
2024-02-13,1107271.03,960219.26,147051.77
2024-02-14,1098823.49,967380.96,131442.53
2024-02-15,1102942.27,978211.63,124730.64
2024-02-16,1110697.77,975087.90,135609.87
2024-02-17,1101393.23,983551.91,117841.32
2024-02-18,1105709.55,975098.54,130611.01
2024-02-19,1111790.22,967600.93,144189.29
2024-02-20,1114334.14,964343.71,149990.43
2024-02-21,1122818.57,975086.00,147732.57
2024-02-22,1116801.03,987757.84,129043.20
2024-02-23,1116073.88,975390.11,140683.77
2024-02-24,1116162.91,966787.93,149374.98
2024-02-25,1111632.85,975372.66,136260.19
2024-02-26,1120068.06,974916.95,145151.11
2024-02-27,1118125.91,970969.74,147156.17
2024-02-28,1120619.93,972105.05,148514.88
2024-02-29,1116201.64,967300.68,148900.96
2024-02-30,1111516.55,973553.37,137963.17
2024-03-01,1121030.78,977981.60,143049.18
2024-03-02,1130037.37,960376.12,169661.24
2024-03-03,1117896.71,949080.90,168815.81
2024-03-04,1110119.17,948578.46,161540.71
2024-03-05,1140326.58,955384.60,184941.98
2024-03-06,1140543.16,950468.68,190074.49
2024-03-07,1127120.24,952595.38,174524.85
2024-03-08,1132900.09,948706.38,184193.71
2024-03-09,1125124.17,952157.77,172966.40
2024-03-10,1151356.82,930765.74,220591.08
2024-03-11,1143706.27,943853.45,199852.82
2024-03-12,1135943.32,942805.43,193137.90
2024-03-13,1132563.34,949980.05,182583.29
2024-03-14,1136239.27,953491.68,182747.58
2024-03-15,1161003.35,948943.09,212060.25
2024-03-16,1158553.71,958314.61,200239.10
2024-03-17,1170533.66,963763.93,206769.73
2024-03-18,1167917.41,974512.94,193404.47
2024-03-19,1140470.77,983910.78,156559.99
2024-03-20,1137327.70,991301.16,146026.54
2024-03-21,1135970.24,985140.65,150829.59
2024-03-22,1132258.38,982129.26,150129.11
2024-03-23,1134340.84,980581.19,153759.65
2024-03-24,1147143.60,992298.44,154845.16
2024-03-25,1141040.49,993243.78,147796.71
2024-03-26,1144587.07,1006138.03,138449.05
2024-03-27,1141958.79,987487.37,154471.42
2024-03-28,1159444.89,994663.76,164781.13
2024-03-29,1159904.36,995895.97,164008.39
2024-03-30,1156228.31,989820.79,166407.52
