date,portfolio_value,benchmark,spread
2024-01-01,1005069.36,988707.06,16362.29
2024-01-02,1008291.39,997747.89,10543.50
2024-01-03,1013138.67,1005845.62,7293.05
2024-01-04,1010228.06,1009521.37,706.69
2024-01-05,1007016.79,1001288.40,5728.39
2024-01-06,1016347.62,1000698.74,15648.87
2024-01-07,1013511.67,981690.11,31821.57
2024-01-08,1009482.42,981440.44,28041.98
2024-01-09,999072.38,988350.25,10722.13
2024-01-10,1011544.58,977486.18,34058.39
2024-01-11,1025613.91,973323.54,52290.37
2024-01-12,1006546.84,962699.36,43847.49
2024-01-13,987073.91,982225.18,4848.74
2024-01-14,979290.10,975192.47,4097.64
2024-01-15,982685.61,969840.27,12845.33
2024-01-16,978053.37,964605.64,13447.73
2024-01-17,968621.24,973287.97,-4666.73
2024-01-18,966336.92,971683.37,-5346.45
2024-01-19,976832.90,981769.63,-4936.73
2024-01-20,967418.95,967510.30,-91.35
2024-01-21,957542.09,965264.35,-7722.25
2024-01-22,972158.90,961429.79,10729.11
2024-01-23,969226.42,956149.13,13077.29
2024-01-24,957241.05,944368.96,12872.09
2024-01-25,952802.58,942136.89,10665.68
2024-01-26,946946.20,947630.20,-684.00
2024-01-27,937158.11,943032.91,-5874.79
2024-01-28,941192.78,941046.25,146.53
2024-01-29,941535.52,948362.43,-6826.91
2024-01-30,932590.83,957424.65,-24833.82
2024-02-01,945460.46,955891.38,-10430.92
2024-02-02,949878.58,947185.31,2693.28
2024-02-03,940740.61,953493.23,-12752.61
2024-02-04,935462.88,955453.18,-19990.31
2024-02-05,934872.76,956041.97,-21169.22
2024-02-06,936048.51,958811.46,-22762.95
2024-02-07,943936.26,955461.70,-11525.44
2024-02-08,933532.76,953490.59,-19957.83
2024-02-09,940008.24,963031.35,-23023.11
2024-02-10,932188.56,968604.48,-36415.92
2024-02-11,924718.36,970783.48,-46065.12
2024-02-12,930105.94,967408.44,-37302.50
2024-02-13,933935.26,963073.49,-29138.23
2024-02-14,928751.94,973237.82,-44485.89
2024-02-15,924487.75,981669.91,-57182.16
2024-02-16,915206.04,994180.17,-78974.12
2024-02-17,912577.73,997634.75,-85057.02
2024-02-18,910468.83,980425.41,-69956.58
2024-02-19,895453.90,966157.99,-70704.10
2024-02-20,896755.00,979569.25,-82814.25
2024-02-21,899130.73,986608.44,-87477.71
2024-02-22,898240.95,985533.25,-87292.31
2024-02-23,911923.85,971587.31,-59663.46
2024-02-24,913324.87,965849.97,-52525.11
2024-02-25,930048.69,982388.79,-52340.10
2024-02-26,923953.60,991300.80,-67347.21
2024-02-27,937730.68,987227.10,-49496.42
2024-02-28,939954.60,987940.25,-47985.65
2024-02-29,942641.19,988178.63,-45537.44
2024-02-30,933084.92,979008.94,-45924.02
2024-03-01,928893.59,985744.42,-56850.83
2024-03-02,924511.09,984368.85,-59857.76
2024-03-03,930562.46,987202.22,-56639.77
2024-03-04,933551.72,994408.61,-60856.89
2024-03-05,932823.07,987826.98,-55003.91
2024-03-06,934397.42,985372.19,-50974.77
2024-03-07,925938.77,961044.27,-35105.50
2024-03-08,922744.93,953013.69,-30268.76
2024-03-09,926065.02,941327.46,-15262.44
2024-03-10,912936.19,933230.07,-20293.87
2024-03-11,913226.72,926697.39,-13470.68
2024-03-12,921152.32,923449.37,-2297.04
2024-03-13,923973.25,932590.33,-8617.09
2024-03-14,923460.30,936316.29,-12855.99
2024-03-15,921894.14,932816.01,-10921.87
2024-03-16,921814.23,938848.50,-17034.27
2024-03-17,924083.02,950693.09,-26610.07
2024-03-18,933012.12,948739.12,-15727.00
2024-03-19,937474.00,951953.42,-14479.42
2024-03-20,950964.14,958136.62,-7172.47
2024-03-21,952696.36,961969.52,-9273.16
2024-03-22,966711.90,952355.53,14356.37
2024-03-23,954100.15,957556.60,-3456.45
2024-03-24,944394.19,960253.86,-15859.67
2024-03-25,942085.03,952224.40,-10139.38
2024-03-26,947847.89,954355.80,-6507.91
2024-03-27,947601.92,953883.47,-6281.55
2024-03-28,966428.66,944226.35,22202.31
2024-03-29,959448.93,947067.26,12381.67
2024-03-30,950153.71,949710.74,442.96
