date,portfolio_value,benchmark,spread
2024-01-01,999733.77,993461.17,6272.60
2024-01-02,1005202.71,997989.74,7212.97
2024-01-03,1011796.31,1006600.32,5195.99
2024-01-04,1017081.01,1017805.55,-724.53
2024-01-05,1028849.74,1020925.82,7923.92
2024-01-06,1025649.96,1025613.88,36.08
2024-01-07,1034577.01,1013031.09,21545.92
2024-01-08,1037623.64,1017131.19,20492.46
2024-01-09,1038454.97,1014919.55,23535.42
2024-01-10,1047524.42,1025506.27,22018.15
2024-01-11,1032612.77,1017052.36,15560.41
2024-01-12,1034041.46,1009702.02,24339.44
2024-01-13,1019620.23,1025802.79,-6182.56
2024-01-14,1038745.56,1047451.44,-8705.88
2024-01-15,1053932.76,1051644.01,2288.75
2024-01-16,1057681.75,1030450.57,27231.18
2024-01-17,1039070.33,1029606.83,9463.50
2024-01-18,1033496.00,1020254.79,13241.21
2024-01-19,1026261.59,1033137.21,-6875.62
2024-01-20,1035332.46,1016784.59,18547.86
2024-01-21,1027139.00,1019533.18,7605.82
2024-01-22,1038879.53,1015617.19,23262.34
2024-01-23,1031809.17,1016175.69,15633.48
2024-01-24,1030244.71,1016871.30,13373.41
2024-01-25,1028991.27,1002435.22,26556.05
2024-01-26,1032124.15,1008408.70,23715.45
2024-01-27,1046818.95,1008070.14,38748.81
2024-01-28,1036752.34,1002225.62,34526.71
2024-01-29,1041864.87,1004136.08,37728.79
2024-01-30,1056419.14,998749.88,57669.26
2024-02-01,1056752.35,995906.29,60846.06
2024-02-02,1069027.14,1006769.99,62257.15
2024-02-03,1097772.42,999201.88,98570.54
2024-02-04,1099610.85,998334.41,101276.44
2024-02-05,1109879.85,994996.88,114882.98
2024-02-06,1109287.89,985365.02,123922.87
2024-02-07,1138526.09,994271.38,144254.70
2024-02-08,1126414.36,1005379.82,121034.54
2024-02-09,1117727.08,1006148.10,111578.98
2024-02-10,1113728.80,1011141.48,102587.31
2024-02-11,1116331.22,1006518.02,109813.20
2024-02-12,1108725.71,1011464.70,97261.01
2024-02-13,1110400.35,1017788.80,92611.55
2024-02-14,1105597.55,1013220.47,92377.08
2024-02-15,1100392.36,1015425.20,84967.16
2024-02-16,1100992.70,1022623.55,78369.15
2024-02-17,1110808.71,1030738.80,80069.91
2024-02-18,1121613.13,1031854.58,89758.55
2024-02-19,1113333.69,1029312.20,84021.49
2024-02-20,1074630.89,1030380.07,44250.82
2024-02-21,1076990.43,1031276.85,45713.58
2024-02-22,1072542.54,1034158.24,38384.30
2024-02-23,1067018.82,1042709.88,24308.94
2024-02-24,1064495.78,1043892.41,20603.37
2024-02-25,1079619.52,1041009.04,38610.48
2024-02-26,1100996.74,1049281.83,51714.91
2024-02-27,1122744.43,1064135.40,58609.04
2024-02-28,1124199.46,1066535.63,57663.83
2024-02-29,1118973.61,1061627.49,57346.12
2024-02-30,1127307.92,1072189.22,55118.70
2024-03-01,1120024.14,1058280.11,61744.03
2024-03-02,1126357.66,1057003.91,69353.75
2024-03-03,1123424.92,1067987.45,55437.47
2024-03-04,1122424.62,1061822.88,60601.74
2024-03-05,1118065.68,1059290.98,58774.70
2024-03-06,1136220.12,1057348.52,78871.60
2024-03-07,1132724.65,1044905.23,87819.41
2024-03-08,1132064.13,1036989.51,95074.62
2024-03-09,1143008.61,1023289.92,119718.69
2024-03-10,1131329.30,1027063.23,104266.07
2024-03-11,1139230.90,1035626.07,103604.83
2024-03-12,1142953.48,1023028.79,119924.69
2024-03-13,1158627.39,1006039.75,152587.64
2024-03-14,1151473.15,1011037.54,140435.61
2024-03-15,1125874.43,1003218.37,122656.07
2024-03-16,1133966.98,994533.07,139433.91
2024-03-17,1140553.74,986201.47,154352.26
2024-03-18,1148027.02,977748.88,170278.13
2024-03-19,1152923.78,972307.96,180615.82
2024-03-20,1158644.22,975190.24,183453.98
2024-03-21,1152162.28,975354.78,176807.50
2024-03-22,1142304.75,969594.36,172710.40
2024-03-23,1157563.16,968575.03,188988.13
2024-03-24,1151855.35,983883.49,167971.86
2024-03-25,1141816.96,989714.62,152102.33
2024-03-26,1133519.21,982034.23,151484.98
2024-03-27,1138424.88,987971.38,150453.50
2024-03-28,1142476.88,986511.97,155964.91
2024-03-29,1132117.01,978217.69,153899.32
2024-03-30,1119953.18,980106.58,139846.60
