date,portfolio_value,benchmark,spread
2024-01-01,999474.84,1005870.95,-6396.11
2024-01-02,996797.48,1021654.99,-24857.51
2024-01-03,991474.42,1026303.78,-34829.35
2024-01-04,988756.76,1020053.47,-31296.71
2024-01-05,1005187.20,1004048.40,1138.81
2024-01-06,1001673.93,1004406.76,-2732.83
2024-01-07,994007.61,1001890.50,-7882.89
2024-01-08,1010823.46,993178.02,17645.44
2024-01-09,1012460.86,974943.84,37517.03
2024-01-10,1009211.99,969652.98,39559.01
2024-01-11,1016759.12,973615.51,43143.61
2024-01-12,1025599.19,960933.80,64665.40
2024-01-13,1043971.54,950229.52,93742.02
2024-01-14,1032741.38,953364.16,79377.22
2024-01-15,1024689.60,964852.14,59837.46
2024-01-16,1038365.60,962407.81,75957.79
2024-01-17,1031241.31,957637.44,73603.87
2024-01-18,1026817.57,953824.21,72993.36
2024-01-19,1029022.79,956874.12,72148.67
2024-01-20,1039420.04,975525.94,63894.11
2024-01-21,1024845.78,974189.38,50656.40
2024-01-22,1009753.53,984050.07,25703.46
2024-01-23,1018744.66,973047.76,45696.89
2024-01-24,1009122.89,985316.84,23806.05
2024-01-25,1028789.65,989913.37,38876.28
2024-01-26,1021804.54,975600.69,46203.85
2024-01-27,1034230.68,969846.06,64384.62
2024-01-28,1029005.67,979001.97,50003.70
2024-01-29,1037734.54,964028.54,73706.00
2024-01-30,1045666.50,975601.81,70064.69
2024-02-01,1044941.50,969254.62,75686.87
2024-02-02,1059204.15,968189.77,91014.39
2024-02-03,1057320.65,973873.83,83446.82
2024-02-04,1061911.96,974764.89,87147.07
2024-02-05,1073595.46,990817.35,82778.11
2024-02-06,1072184.55,988617.94,83566.61
2024-02-07,1085003.24,995086.78,89916.46
2024-02-08,1090173.14,998414.61,91758.54
2024-02-09,1090287.24,1008500.99,81786.25
2024-02-10,1068521.86,1008331.14,60190.72
2024-02-11,1089760.19,1007753.06,82007.13
2024-02-12,1086413.88,1016569.14,69844.74
2024-02-13,1095258.63,1026008.25,69250.38
2024-02-14,1088221.91,1033512.86,54709.05
2024-02-15,1076789.06,1047522.07,29266.99
2024-02-16,1066557.31,1059455.04,7102.27
2024-02-17,1064377.03,1058243.16,6133.87
2024-02-18,1069180.01,1054512.98,14667.03
2024-02-19,1075127.35,1063591.46,11535.89
2024-02-20,1085237.99,1057617.67,27620.32
2024-02-21,1077645.30,1061225.42,16419.88
2024-02-22,1083134.49,1065463.39,17671.09
2024-02-23,1094299.67,1064035.61,30264.06
2024-02-24,1102140.57,1067119.86,35020.71
2024-02-25,1115496.01,1066457.46,49038.55
2024-02-26,1103435.43,1087316.25,16119.17
2024-02-27,1102795.41,1066627.32,36168.09
2024-02-28,1118698.92,1060245.76,58453.16
2024-02-29,1125294.64,1056231.64,69063.00
2024-02-30,1103123.10,1058595.12,44527.99
2024-03-01,1096006.33,1068872.49,27133.83
2024-03-02,1097082.23,1053142.32,43939.90
2024-03-03,1110604.21,1068809.02,41795.19
2024-03-04,1106982.28,1067166.08,39816.20
2024-03-05,1106628.90,1056726.19,49902.71
2024-03-06,1096900.05,1048171.21,48728.84
2024-03-07,1076486.40,1060191.36,16295.04
2024-03-08,1072891.70,1051540.54,21351.16
2024-03-09,1076090.58,1045797.71,30292.87
2024-03-10,1083726.46,1051358.92,32367.54
2024-03-11,1100173.49,1050660.28,49513.20
2024-03-12,1090477.70,1075688.16,14789.54
2024-03-13,1080741.99,1084981.40,-4239.41
2024-03-14,1067722.77,1093587.57,-25864.80
2024-03-15,1069261.44,1122037.55,-52776.11
2024-03-16,1048124.08,1106228.79,-58104.71
2024-03-17,1066298.11,1097432.09,-31133.98
2024-03-18,1071990.28,1090555.93,-18565.65
2024-03-19,1069010.37,1084096.64,-15086.27
2024-03-20,1063932.03,1070543.58,-6611.55
2024-03-21,1063419.96,1083840.40,-20420.44
2024-03-22,1046862.66,1070882.39,-24019.73
2024-03-23,1053906.06,1088658.44,-34752.38
2024-03-24,1046064.21,1081756.83,-35692.62
2024-03-25,1046363.78,1087829.37,-41465.58
2024-03-26,1046104.41,1084736.91,-38632.50
2024-03-27,1027702.40,1077772.30,-50069.90
2024-03-28,1040318.34,1086337.72,-46019.39
2024-03-29,1049115.65,1066712.34,-17596.68
2024-03-30,1037971.49,1067167.80,-29196.31
