date,portfolio_value,benchmark,spread
2024-01-01,993868.62,990954.81,2913.81
2024-01-02,990104.41,991867.83,-1763.42
2024-01-03,1007132.63,1001273.25,5859.38
2024-01-04,1004638.26,994294.10,10344.16
2024-01-05,999468.22,996409.61,3058.61
2024-01-06,1022679.67,984981.93,37697.74
2024-01-07,1034124.20,982837.03,51287.17
2024-01-08,1047490.70,995859.25,51631.45
2024-01-09,1053266.39,1000620.19,52646.20
2024-01-10,1044039.22,1004975.23,39063.99
2024-01-11,1055927.68,994308.46,61619.22
2024-01-12,1055364.51,998975.17,56389.34
2024-01-13,1034714.08,1001537.09,33176.98
2024-01-14,1030624.28,1013901.85,16722.43
2024-01-15,1019831.19,1025636.23,-5805.05
2024-01-16,1013617.02,1016335.69,-2718.66
2024-01-17,1002767.26,1011705.14,-8937.88
2024-01-18,1005762.49,1012789.64,-7027.15
2024-01-19,1017566.40,1009195.45,8370.95
2024-01-20,1029068.60,1001914.13,27154.47
2024-01-21,1019273.32,994947.87,24325.45
2024-01-22,1008033.65,998154.72,9878.93
2024-01-23,1017275.48,998011.40,19264.08
2024-01-24,1013113.10,1000594.80,12518.31
2024-01-25,1007787.14,1005051.19,2735.95
2024-01-26,995625.34,998651.80,-3026.46
2024-01-27,990964.40,997608.72,-6644.32
2024-01-28,995906.47,996163.96,-257.49
2024-01-29,987530.18,998515.89,-10985.71
2024-01-30,976810.48,1003053.52,-26243.04
2024-02-01,958099.16,1000543.99,-42444.84
2024-02-02,963269.36,1009487.03,-46217.68
2024-02-03,957622.75,1008350.02,-50727.27
2024-02-04,955473.77,1001856.90,-46383.13
2024-02-05,962467.03,998153.73,-35686.69
2024-02-06,964366.39,1000978.83,-36612.44
2024-02-07,978694.32,1014139.73,-35445.41
2024-02-08,975334.38,1015096.61,-39762.23
2024-02-09,970060.39,1018114.48,-48054.10
2024-02-10,967545.15,1022438.66,-54893.51
2024-02-11,962767.59,1028867.65,-66100.06
2024-02-12,981281.84,1029018.90,-47737.07
2024-02-13,966183.58,1030133.55,-63949.97
2024-02-14,958329.14,1043458.75,-85129.61
2024-02-15,958373.13,1031423.96,-73050.83
2024-02-16,962487.66,1030441.29,-67953.63
2024-02-17,967919.58,1037013.37,-69093.80
2024-02-18,957308.94,1039658.12,-82349.17
2024-02-19,968246.15,1051890.24,-83644.09
2024-02-20,972668.70,1049686.79,-77018.09
2024-02-21,964942.70,1054474.06,-89531.35
2024-02-22,961124.65,1053835.61,-92710.96
2024-02-23,982125.22,1058360.84,-76235.61
2024-02-24,973316.81,1071111.71,-97794.90
2024-02-25,970103.13,1063899.33,-93796.20
2024-02-26,960354.68,1069656.71,-109302.04
2024-02-27,962707.56,1085568.88,-122861.32
2024-02-28,964605.49,1075969.50,-111364.02
2024-02-29,975200.58,1078701.11,-103500.53
2024-02-30,981442.44,1079635.28,-98192.84
2024-03-01,987371.78,1082569.70,-95197.92
2024-03-02,985289.52,1090070.27,-104780.75
2024-03-03,993804.90,1082017.93,-88213.03
2024-03-04,1008867.91,1073643.58,-64775.67
2024-03-05,1007688.73,1072441.99,-64753.27
2024-03-06,1015303.33,1068785.45,-53482.13
2024-03-07,1026031.04,1077556.44,-51525.40
2024-03-08,1027666.52,1079875.68,-52209.16
2024-03-09,1026540.25,1082389.30,-55849.05
2024-03-10,1029932.67,1094394.17,-64461.50
2024-03-11,1043809.79,1096144.45,-52334.66
2024-03-12,1036242.02,1098781.79,-62539.77
2024-03-13,1040334.24,1102101.62,-61767.39
2024-03-14,1032755.02,1095614.78,-62859.76
2024-03-15,1038477.07,1106366.81,-67889.75
2024-03-16,1054244.42,1109359.77,-55115.35
2024-03-17,1036759.44,1088760.64,-52001.20
2024-03-18,1035502.67,1078708.29,-43205.61
2024-03-19,1024339.85,1077800.53,-53460.67
2024-03-20,1027080.45,1070324.05,-43243.60
2024-03-21,1021861.35,1083407.16,-61545.81
2024-03-22,1013429.96,1090764.36,-77334.40
2024-03-23,1023552.45,1088883.37,-65330.91
2024-03-24,1023623.92,1086799.19,-63175.27
2024-03-25,1013860.14,1087003.37,-73143.23
2024-03-26,1004788.36,1097115.77,-92327.41
2024-03-27,992789.06,1105245.60,-112456.55
2024-03-28,987221.68,1087001.24,-99779.56
2024-03-29,977873.33,1087867.28,-109993.95
2024-03-30,970020.04,1094326.60,-124306.57
