date,portfolio_value,benchmark,spread
2024-01-01,1003662.61,1000145.06,3517.55
2024-01-02,992515.42,1005372.16,-12856.74
2024-01-03,976787.01,997314.29,-20527.29
2024-01-04,969683.87,1005859.01,-36175.14
2024-01-05,982250.87,994007.03,-11756.15
2024-01-06,961519.50,996540.87,-35021.38
2024-01-07,951287.36,997357.71,-46070.35
2024-01-08,956066.46,1009969.29,-53902.83
2024-01-09,956738.47,1013748.78,-57010.31
2024-01-10,952477.44,1002930.95,-50453.51
2024-01-11,940070.82,1016479.73,-76408.91
2024-01-12,948094.81,1018427.93,-70333.12
2024-01-13,959954.02,1004345.71,-44391.69
2024-01-14,967765.59,1001489.18,-33723.59
2024-01-15,958413.37,1005672.53,-47259.16
2024-01-16,973093.11,1019130.70,-46037.59
2024-01-17,960305.21,1024946.84,-64641.63
2024-01-18,967491.58,1013877.80,-46386.22
2024-01-19,979645.93,1012348.96,-32703.03
2024-01-20,975333.47,1016477.69,-41144.22
2024-01-21,976452.95,1024086.05,-47633.10
2024-01-22,978819.45,1008954.99,-30135.55
2024-01-23,997457.79,1014344.62,-16886.83
2024-01-24,1001306.19,1009724.47,-8418.29
2024-01-25,1005305.19,1009615.59,-4310.39
2024-01-26,999146.44,1008243.06,-9096.62
2024-01-27,1008145.85,1008482.82,-336.97
2024-01-28,1001954.82,999254.60,2700.23
2024-01-29,997948.54,1007783.27,-9834.72
2024-01-30,998273.05,1021461.05,-23188.00
2024-02-01,1006891.86,1028691.81,-21799.95
2024-02-02,1025969.09,1032122.50,-6153.41
2024-02-03,1020189.63,1028479.67,-8290.04
2024-02-04,1028932.67,1041541.74,-12609.07
2024-02-05,1012663.62,1042416.55,-29752.93
2024-02-06,1004811.94,1039351.71,-34539.77
2024-02-07,1005432.76,1042431.30,-36998.53
2024-02-08,999056.48,1044089.81,-45033.33
2024-02-09,998543.74,1036707.28,-38163.54
2024-02-10,988052.12,1036741.74,-48689.63
2024-02-11,1001899.47,1038177.48,-36278.01
2024-02-12,995134.44,1047732.48,-52598.04
2024-02-13,992719.41,1064710.17,-71990.76
2024-02-14,1011300.17,1064767.91,-53467.74
2024-02-15,1001064.84,1068346.15,-67281.31
2024-02-16,987559.83,1066302.51,-78742.68
2024-02-17,988246.02,1077421.19,-89175.17
2024-02-18,994407.44,1069752.90,-75345.46
2024-02-19,999824.84,1072080.29,-72255.45
2024-02-20,982027.05,1074783.96,-92756.92
2024-02-21,987258.03,1073014.54,-85756.51
2024-02-22,999640.80,1067113.05,-67472.25
2024-02-23,999639.35,1059902.77,-60263.41
2024-02-24,1001806.18,1050425.62,-48619.44
2024-02-25,996642.72,1045169.50,-48526.78
2024-02-26,1010846.68,1041196.73,-30350.05
2024-02-27,995016.33,1036704.73,-41688.40
2024-02-28,995462.70,1037539.29,-42076.59
2024-02-29,996991.20,1036995.49,-40004.28
2024-02-30,997381.92,1043986.93,-46605.01
2024-03-01,1013343.79,1038274.35,-24930.56
2024-03-02,996327.96,1043474.35,-47146.39
2024-03-03,990802.03,1038758.05,-47956.01
2024-03-04,989388.22,1031080.92,-41692.71
2024-03-05,987357.82,1029884.25,-42526.44
2024-03-06,993645.07,1027104.52,-33459.45
2024-03-07,992357.16,1034323.91,-41966.75
2024-03-08,1007684.02,1027800.68,-20116.66
2024-03-09,992368.58,1028222.58,-35854.00
2024-03-10,996066.24,1024220.12,-28153.87
2024-03-11,989341.40,1019657.68,-30316.27
2024-03-12,975910.22,1005817.71,-29907.48
2024-03-13,988473.32,1017334.56,-28861.24
2024-03-14,969023.36,1024590.62,-55567.26
2024-03-15,976530.09,1023767.10,-47237.01
2024-03-16,980633.64,1032520.71,-51887.07
2024-03-17,975374.05,1022724.59,-47350.54
2024-03-18,964909.91,1012673.19,-47763.28
2024-03-19,972229.75,1024665.74,-52435.99
2024-03-20,988173.54,1024457.04,-36283.51
2024-03-21,991414.52,1018789.58,-27375.05
2024-03-22,975310.05,1015385.07,-40075.02
2024-03-23,977952.73,1027326.92,-49374.19
2024-03-24,991579.32,1017902.62,-26323.30
2024-03-25,986048.58,1016648.97,-30600.38
2024-03-26,996827.81,1031851.90,-35024.10
2024-03-27,986635.29,1027460.97,-40825.68
2024-03-28,986126.05,1030685.33,-44559.28
2024-03-29,998012.71,1025888.90,-27876.20
2024-03-30,975573.99,1018122.57,-42548.57
