date,portfolio_value,benchmark,spread
2024-01-01,991110.69,1007543.53,-16432.84
2024-01-02,996797.90,1002693.88,-5895.98
2024-01-03,988005.13,1011397.85,-23392.73
2024-01-04,983890.47,1010176.11,-26285.63
2024-01-05,984724.97,1004497.85,-19772.88
2024-01-06,997141.35,996668.45,472.90
2024-01-07,991233.38,992874.52,-1641.14
2024-01-08,993924.02,989976.79,3947.22
2024-01-09,1007002.60,989814.73,17187.88
2024-01-10,1018614.09,986857.84,31756.24
2024-01-11,1032284.12,983760.15,48523.97
2024-01-12,1047818.17,993990.74,53827.43
2024-01-13,1040427.04,988136.50,52290.54
2024-01-14,1047084.84,1001748.23,45336.61
2024-01-15,1050869.40,991769.70,59099.70
2024-01-16,1035375.53,993172.00,42203.52
2024-01-17,1030386.09,994118.05,36268.04
2024-01-18,1022432.75,993582.19,28850.56
2024-01-19,1023771.15,1006414.24,17356.91
2024-01-20,1042608.21,1012276.16,30332.05
2024-01-21,1044796.41,1008222.73,36573.67
2024-01-22,1042940.65,1001283.49,41657.16
2024-01-23,1059838.74,999470.45,60368.29
2024-01-24,1045953.94,1004148.95,41804.99
2024-01-25,1054918.38,995893.70,59024.68
2024-01-26,1052360.34,989263.42,63096.92
2024-01-27,1036373.21,1005502.44,30870.77
2024-01-28,1039528.25,1007653.17,31875.08
2024-01-29,1057805.36,1015494.03,42311.32
2024-01-30,1051916.55,1015782.03,36134.53
2024-02-01,1068117.12,1006139.92,61977.20
2024-02-02,1076391.20,993442.35,82948.85
2024-02-03,1096256.29,1003088.31,93167.98
2024-02-04,1077301.28,999402.78,77898.50
2024-02-05,1069140.95,1010576.56,58564.39
2024-02-06,1077120.29,1005304.77,71815.52
2024-02-07,1076150.00,1008202.76,67947.24
2024-02-08,1069352.44,1018053.98,51298.45
2024-02-09,1083670.54,1028916.68,54753.86
2024-02-10,1089245.47,1031426.80,57818.67
2024-02-11,1086723.92,1026167.65,60556.27
2024-02-12,1076586.49,1037261.31,39325.18
2024-02-13,1064567.88,1025482.01,39085.87
2024-02-14,1068107.64,1034235.18,33872.46
2024-02-15,1065862.23,1044539.78,21322.45
2024-02-16,1067760.43,1042006.97,25753.47
2024-02-17,1052692.02,1025006.19,27685.83
2024-02-18,1061640.97,1030317.49,31323.48
2024-02-19,1082391.00,1026210.21,56180.80
2024-02-20,1084097.33,1022770.01,61327.32
2024-02-21,1101714.19,1035536.76,66177.42
2024-02-22,1094812.79,1033536.95,61275.84
2024-02-23,1109397.76,1043850.20,65547.56
2024-02-24,1111632.43,1037544.93,74087.51
2024-02-25,1119924.76,1050655.94,69268.82
2024-02-26,1132876.62,1048391.18,84485.45
2024-02-27,1134714.99,1061968.89,72746.09
2024-02-28,1129848.06,1066196.10,63651.96
2024-02-29,1135866.91,1068925.09,66941.82
2024-02-30,1133936.21,1065971.05,67965.16
2024-03-01,1131279.76,1064315.07,66964.69
2024-03-02,1130596.47,1051422.78,79173.69
2024-03-03,1133322.75,1071159.24,62163.51
2024-03-04,1132429.49,1064404.26,68025.23
2024-03-05,1143049.90,1066979.15,76070.75
2024-03-06,1148419.50,1070400.42,78019.08
2024-03-07,1140918.39,1066986.09,73932.30
2024-03-08,1147995.28,1078223.91,69771.38
2024-03-09,1132733.39,1070865.30,61868.09
2024-03-10,1130196.43,1066046.94,64149.49
2024-03-11,1117287.22,1059472.95,57814.27
2024-03-12,1136484.14,1057883.86,78600.28
2024-03-13,1128336.39,1064204.56,64131.82
2024-03-14,1109490.93,1072286.11,37204.82
2024-03-15,1106048.78,1085255.17,20793.60
2024-03-16,1134282.96,1078196.54,56086.42
2024-03-17,1156860.88,1073681.75,83179.13
2024-03-18,1141559.49,1075145.79,66413.70
2024-03-19,1152240.61,1071972.49,80268.11
2024-03-20,1158640.15,1064154.23,94485.92
2024-03-21,1159821.10,1059271.96,100549.14
2024-03-22,1153046.95,1062856.09,90190.86
2024-03-23,1153772.74,1049339.12,104433.62
2024-03-24,1150271.73,1033455.64,116816.08
2024-03-25,1136324.27,1029975.98,106348.29
2024-03-26,1143445.86,1034393.72,109052.14
2024-03-27,1140419.14,1043844.22,96574.91
2024-03-28,1141909.07,1036154.64,105754.43
2024-03-29,1148022.60,1034588.09,113434.51
2024-03-30,1143163.90,1037948.53,105215.36
