date,portfolio_value,benchmark,spread
2024-01-01,1019422.14,995637.55,23784.59
2024-01-02,1022315.31,1000740.07,21575.24
2024-01-03,1017746.93,1007412.36,10334.56
2024-01-04,1014870.75,1002417.72,12453.03
2024-01-05,1022767.50,991343.53,31423.97
2024-01-06,1031834.60,982498.29,49336.31
2024-01-07,1026386.56,989072.45,37314.11
2024-01-08,1020198.38,997102.37,23096.00
2024-01-09,1009146.25,1003036.44,6109.81
2024-01-10,1021112.92,1006531.08,14581.84
2024-01-11,1018245.67,1016029.43,2216.25
2024-01-12,1007610.12,1025092.24,-17482.12
2024-01-13,1000701.54,1024566.02,-23864.48
2024-01-14,1002049.31,1019065.16,-17015.86
2024-01-15,1002067.01,1028820.54,-26753.54
2024-01-16,998376.45,1031151.44,-32775.00
2024-01-17,988830.56,1027190.87,-38360.31
2024-01-18,991141.47,1036526.41,-45384.95
2024-01-19,988085.64,1049082.43,-60996.79
2024-01-20,976611.18,1043041.67,-66430.49
2024-01-21,980442.31,1050698.90,-70256.59
2024-01-22,977309.64,1057930.93,-80621.29
2024-01-23,983229.75,1052089.31,-68859.56
2024-01-24,982479.82,1057606.87,-75127.05
2024-01-25,999631.81,1065646.41,-66014.60
2024-01-26,973585.34,1077163.04,-103577.70
2024-01-27,987647.75,1088382.80,-100735.05
2024-01-28,991746.19,1081904.21,-90158.03
2024-01-29,1003376.93,1076390.02,-73013.09
2024-01-30,999825.08,1064055.30,-64230.22
2024-02-01,986711.61,1062096.80,-75385.19
2024-02-02,998172.38,1056758.88,-58586.50
2024-02-03,999222.22,1071625.37,-72403.14
2024-02-04,998564.52,1073401.13,-74836.61
2024-02-05,1006406.63,1059442.43,-53035.80
2024-02-06,1005719.16,1061508.10,-55788.94
2024-02-07,996329.43,1068342.18,-72012.75
2024-02-08,1005679.17,1081257.54,-75578.38
2024-02-09,1012520.55,1081732.54,-69211.98
2024-02-10,995492.80,1089835.77,-94342.97
2024-02-11,984553.76,1104908.33,-120354.57
2024-02-12,970587.43,1108229.83,-137642.39
2024-02-13,959654.73,1109313.68,-149658.95
2024-02-14,957454.93,1103852.21,-146397.28
2024-02-15,952425.27,1103298.00,-150872.72
2024-02-16,952279.30,1104147.17,-151867.87
2024-02-17,963878.88,1111034.85,-147155.97
2024-02-18,962679.58,1105826.79,-143147.21
2024-02-19,973981.55,1088777.83,-114796.28
2024-02-20,978353.51,1083797.71,-105444.19
2024-02-21,989699.24,1092248.15,-102548.91
2024-02-22,998977.54,1098182.87,-99205.34
2024-02-23,979708.04,1114108.20,-134400.16
2024-02-24,987329.26,1123015.87,-135686.62
2024-02-25,990563.57,1117692.17,-127128.60
2024-02-26,995427.44,1123140.14,-127712.70
2024-02-27,1001460.84,1121672.54,-120211.70
2024-02-28,1012086.32,1117349.78,-105263.46
2024-02-29,1015078.91,1110114.70,-95035.78
2024-02-30,1021593.96,1106922.87,-85328.91
2024-03-01,1033929.78,1110280.31,-76350.53
2024-03-02,1032954.55,1120124.40,-87169.85
2024-03-03,1027861.25,1124231.45,-96370.20
2024-03-04,1022517.59,1131019.08,-108501.49
2024-03-05,1018626.60,1129732.53,-111105.93
2024-03-06,1018845.91,1119029.23,-100183.32
2024-03-07,1026577.27,1130544.47,-103967.20
2024-03-08,1001560.60,1141875.49,-140314.88
2024-03-09,1001700.70,1148467.77,-146767.07
2024-03-10,990749.44,1158570.13,-167820.69
2024-03-11,997108.22,1165520.55,-168412.32
2024-03-12,1011355.13,1162921.75,-151566.62
2024-03-13,987546.19,1161323.49,-173777.31
2024-03-14,981917.80,1173953.55,-192035.76
2024-03-15,998019.10,1168666.63,-170647.53
2024-03-16,979661.53,1178843.00,-199181.47
2024-03-17,976238.84,1182197.61,-205958.77
2024-03-18,970159.11,1170678.24,-200519.13
2024-03-19,968513.23,1170596.23,-202083.00
2024-03-20,957362.00,1172701.41,-215339.42
2024-03-21,944517.04,1171140.59,-226623.55
2024-03-22,948871.56,1170848.75,-221977.20
2024-03-23,950136.01,1166502.83,-216366.82
2024-03-24,953421.93,1177949.45,-224527.52
2024-03-25,963496.39,1163083.06,-199586.67
2024-03-26,964212.08,1167639.27,-203427.19
2024-03-27,940929.10,1166714.64,-225785.54
2024-03-28,948774.38,1168638.47,-219864.09
2024-03-29,953757.55,1180995.38,-227237.83
2024-03-30,961678.25,1178910.10,-217231.85
