date,portfolio_value,benchmark,spread
2024-01-01,986091.65,996808.78,-10717.13
2024-01-02,988331.93,986595.20,1736.72
2024-01-03,985655.21,992429.56,-6774.35
2024-01-04,989018.91,994231.21,-5212.30
2024-01-05,992522.59,996147.96,-3625.37
2024-01-06,988646.62,991620.15,-2973.53
2024-01-07,988240.51,988258.22,-17.71
2024-01-08,985600.73,982043.01,3557.72
2024-01-09,980373.40,979823.80,549.60
2024-01-10,969136.60,979831.62,-10695.02
2024-01-11,963341.36,987858.84,-24517.48
2024-01-12,954840.24,991966.57,-37126.33
2024-01-13,952063.19,991008.68,-38945.49
2024-01-14,945567.80,981488.43,-35920.63
2024-01-15,943604.20,976964.51,-33360.30
2024-01-16,942379.00,975585.58,-33206.57
2024-01-17,932720.21,987546.75,-54826.54
2024-01-18,929041.94,994232.67,-65190.73
2024-01-19,915048.09,997977.04,-82928.95
2024-01-20,912867.71,1004121.24,-91253.53
2024-01-21,913000.24,998886.33,-85886.09
2024-01-22,911926.86,1000269.01,-88342.15
2024-01-23,906394.00,998237.92,-91843.92
2024-01-24,907080.72,1014177.70,-107096.98
2024-01-25,917577.26,1000541.56,-82964.31
2024-01-26,928187.99,990389.61,-62201.62
2024-01-27,928545.59,984623.39,-56077.80
2024-01-28,935730.92,995206.86,-59475.94
2024-01-29,925136.19,1005902.70,-80766.50
2024-01-30,916051.99,1010952.77,-94900.77
2024-02-01,916743.00,1022410.29,-105667.29
2024-02-02,898312.40,1022245.51,-123933.11
2024-02-03,904482.18,1027490.27,-123008.09
2024-02-04,892986.27,1032291.79,-139305.52
2024-02-05,881621.98,1025269.69,-143647.71
2024-02-06,869766.73,1032168.46,-162401.74
2024-02-07,875642.45,1032052.07,-156409.62
2024-02-08,862297.70,1039925.45,-177627.75
2024-02-09,861781.62,1008015.45,-146233.83
2024-02-10,855283.83,1012773.32,-157489.49
2024-02-11,863751.68,1002958.72,-139207.04
2024-02-12,855864.27,996189.31,-140325.04
2024-02-13,848063.83,999957.86,-151894.03
2024-02-14,856497.04,1004650.42,-148153.38
2024-02-15,843011.48,999937.32,-156925.84
2024-02-16,862274.64,1000221.71,-137947.07
2024-02-17,858607.48,991058.36,-132450.87
2024-02-18,851612.05,997379.21,-145767.16
2024-02-19,866900.25,998502.48,-131602.23
2024-02-20,875796.13,1004979.38,-129183.25
2024-02-21,878823.75,1011836.18,-133012.43
2024-02-22,867233.54,1004769.42,-137535.88
2024-02-23,849917.64,996952.90,-147035.26
2024-02-24,850581.79,997035.02,-146453.23
2024-02-25,845266.71,1002936.93,-157670.22
2024-02-26,854625.14,1006394.73,-151769.60
2024-02-27,854223.83,1008750.57,-154526.74
2024-02-28,853462.19,1015458.24,-161996.05
2024-02-29,849334.08,1008326.50,-158992.43
2024-02-30,849010.87,1024224.70,-175213.83
2024-03-01,846436.31,1026212.29,-179775.98
2024-03-02,850355.16,1038272.06,-187916.89
2024-03-03,859433.86,1043598.52,-184164.65
2024-03-04,861968.92,1044733.08,-182764.16
2024-03-05,874605.80,1054763.42,-180157.62
2024-03-06,869571.47,1059009.84,-189438.37
2024-03-07,875595.09,1057145.80,-181550.71
2024-03-08,885371.75,1049259.43,-163887.68
2024-03-09,883901.07,1047702.14,-163801.07
2024-03-10,871913.47,1034843.90,-162930.43
2024-03-11,864049.02,1040992.18,-176943.15
2024-03-12,875124.55,1021490.47,-146365.92
2024-03-13,873279.62,1026660.67,-153381.05
2024-03-14,878837.35,1023583.46,-144746.10
2024-03-15,882710.23,1011323.63,-128613.40
2024-03-16,881470.52,1027878.22,-146407.70
2024-03-17,892528.66,1013570.59,-121041.93
2024-03-18,893649.16,1018575.36,-124926.21
2024-03-19,908505.39,1018041.30,-109535.91
2024-03-20,914105.13,1021357.92,-107252.80
2024-03-21,907449.26,1019844.46,-112395.20
2024-03-22,908948.42,1030265.62,-121317.19
2024-03-23,910150.07,1031725.96,-121575.90
2024-03-24,904846.32,1029140.83,-124294.51
2024-03-25,899680.92,1015607.78,-115926.86
2024-03-26,905395.60,1008143.32,-102747.71
2024-03-27,916056.14,1015359.99,-99303.85
2024-03-28,895602.54,1011039.96,-115437.43
2024-03-29,896001.04,1010740.61,-114739.57
2024-03-30,899083.62,1012542.42,-113458.81
