date,portfolio_value,benchmark,spread
2024-01-01,999380.71,1006345.35,-6964.64
2024-01-02,1006397.61,1009493.33,-3095.72
2024-01-03,1018216.28,1007328.95,10887.34
2024-01-04,1018287.04,1018463.43,-176.39
2024-01-05,998105.86,1003764.02,-5658.16
2024-01-06,984537.53,1012472.77,-27935.24
2024-01-07,984450.51,998089.96,-13639.45
2024-01-08,998018.54,993061.91,4956.64
2024-01-09,1006701.37,990023.22,16678.15
2024-01-10,1004858.98,1004540.80,318.18
2024-01-11,1015479.66,1004618.16,10861.51
2024-01-12,992825.01,997215.21,-4390.20
2024-01-13,991188.09,988017.82,3170.26
2024-01-14,991170.74,990161.70,1009.04
2024-01-15,987636.50,984901.94,2734.56
2024-01-16,998241.74,991943.52,6298.23
2024-01-17,1009340.20,987267.61,22072.59
2024-01-18,1005594.58,973804.33,31790.25
2024-01-19,1010623.99,978304.59,32319.40
2024-01-20,1006328.24,988785.06,17543.19
2024-01-21,1006193.25,997590.84,8602.41
2024-01-22,1006049.32,1010075.43,-4026.12
2024-01-23,997794.04,993017.16,4776.88
2024-01-24,991090.98,995917.49,-4826.52
2024-01-25,979825.50,993163.56,-13338.06
2024-01-26,985453.25,1003865.65,-18412.40
2024-01-27,984839.91,1003804.45,-18964.54
2024-01-28,967406.96,1012080.77,-44673.82
2024-01-29,968074.18,1009648.85,-41574.67
2024-01-30,953895.46,1012843.65,-58948.20
2024-02-01,940415.12,1011451.73,-71036.61
2024-02-02,944806.39,1012085.53,-67279.14
2024-02-03,952142.45,1011835.96,-59693.52
2024-02-04,940029.63,999202.43,-59172.81
2024-02-05,936283.78,1003130.25,-66846.47
2024-02-06,903815.74,996178.46,-92362.72
2024-02-07,906236.16,998254.08,-92017.91
2024-02-08,904809.97,996545.31,-91735.34
2024-02-09,915709.92,996299.80,-80589.88
2024-02-10,911461.74,1002563.90,-91102.16
2024-02-11,915612.04,1011130.88,-95518.83
2024-02-12,932461.52,1020618.42,-88156.90
2024-02-13,931217.96,1025086.34,-93868.38
2024-02-14,919966.47,1037921.31,-117954.85
2024-02-15,922737.84,1054651.98,-131914.14
2024-02-16,918934.30,1062209.08,-143274.78
2024-02-17,923852.09,1065144.73,-141292.63
2024-02-18,921362.66,1083285.78,-161923.13
2024-02-19,939170.17,1083576.17,-144406.00
2024-02-20,946176.90,1069849.24,-123672.35
2024-02-21,944679.72,1068632.86,-123953.14
2024-02-22,929322.63,1068316.50,-138993.87
2024-02-23,922387.59,1073182.73,-150795.14
2024-02-24,922859.24,1076491.48,-153632.24
2024-02-25,923187.49,1087530.66,-164343.16
2024-02-26,934774.68,1097852.48,-163077.79
2024-02-27,926079.50,1110331.12,-184251.62
2024-02-28,916853.69,1123021.35,-206167.67
2024-02-29,917697.86,1119804.08,-202106.22
2024-02-30,917913.42,1114911.84,-196998.42
2024-03-01,939637.26,1107622.91,-167985.65
2024-03-02,945608.41,1094434.51,-148826.10
2024-03-03,954622.27,1102657.10,-148034.83
2024-03-04,951989.77,1098195.68,-146205.91
2024-03-05,950016.38,1084584.53,-134568.15
2024-03-06,957619.20,1096967.54,-139348.35
2024-03-07,966502.64,1112098.14,-145595.51
2024-03-08,969160.15,1114007.04,-144846.89
2024-03-09,974854.25,1110499.60,-135645.35
2024-03-10,982202.49,1110925.36,-128722.87
2024-03-11,991968.39,1122218.62,-130250.24
2024-03-12,1006473.82,1136646.00,-130172.18
2024-03-13,1030882.78,1122776.43,-91893.64
2024-03-14,1042394.56,1120255.79,-77861.23
2024-03-15,1037589.35,1132370.83,-94781.49
2024-03-16,1042404.13,1148627.65,-106223.53
2024-03-17,1039906.65,1135752.44,-95845.79
2024-03-18,1033745.48,1139357.16,-105611.68
2024-03-19,1023815.89,1138538.31,-114722.42
2024-03-20,1022220.05,1155457.14,-133237.09
2024-03-21,1018111.04,1151533.52,-133422.48
2024-03-22,1025071.21,1140969.60,-115898.39
2024-03-23,1016212.79,1140714.94,-124502.15
2024-03-24,1006044.88,1129117.80,-123072.92
2024-03-25,1017971.68,1137315.73,-119344.05
2024-03-26,1026663.85,1137141.04,-110477.18
2024-03-27,1019621.28,1141686.95,-122065.66
2024-03-28,1020860.71,1153752.39,-132891.68
2024-03-29,1029097.98,1155063.63,-125965.65
2024-03-30,1030565.46,1154177.53,-123612.07
