date,portfolio_value,benchmark,spread
2024-01-01,999734.57,997213.90,2520.67
2024-01-02,989726.32,1012002.52,-22276.19
2024-01-03,984521.08,1012798.61,-28277.52
2024-01-04,976119.11,1009478.08,-33358.97
2024-01-05,959386.57,1017481.02,-58094.45
2024-01-06,959748.67,1018186.32,-58437.65
2024-01-07,958522.97,1023474.28,-64951.30
2024-01-08,967412.04,1019419.56,-52007.52
2024-01-09,977844.18,1016089.56,-38245.38
2024-01-10,989902.77,1025437.09,-35534.32
2024-01-11,996565.46,1025928.13,-29362.67
2024-01-12,983383.01,1032066.52,-48683.52
2024-01-13,984746.95,1025500.99,-40754.04
2024-01-14,983997.74,1017027.02,-33029.28
2024-01-15,977434.68,1010323.23,-32888.54
2024-01-16,969159.09,1007823.48,-38664.40
2024-01-17,960371.44,997068.02,-36696.58
2024-01-18,958119.87,998483.98,-40364.10
2024-01-19,952329.82,1007123.54,-54793.72
2024-01-20,971869.19,1004764.94,-32895.75
2024-01-21,978260.12,1000209.60,-21949.48
2024-01-22,974397.05,998024.76,-23627.71
2024-01-23,965635.87,999658.06,-34022.19
2024-01-24,965672.63,1000111.56,-34438.93
2024-01-25,969055.79,1011407.12,-42351.33
2024-01-26,973267.25,1011740.61,-38473.36
2024-01-27,973244.55,1010709.72,-37465.17
2024-01-28,989011.23,1010822.68,-21811.45
2024-01-29,995005.96,1009838.86,-14832.91
2024-01-30,1003484.52,1006215.00,-2730.48
2024-02-01,998931.18,1004876.22,-5945.04
2024-02-02,994945.63,998977.22,-4031.59
2024-02-03,1000670.93,1000131.97,538.96
2024-02-04,1016216.42,983943.26,32273.16
2024-02-05,1022951.97,971199.08,51752.90
2024-02-06,1026268.53,965430.99,60837.54
2024-02-07,1037369.21,966593.10,70776.11
2024-02-08,1037824.75,965608.25,72216.50
2024-02-09,1023446.33,975806.58,47639.75
2024-02-10,1027949.09,966919.66,61029.43
2024-02-11,1025676.34,972588.19,53088.14
2024-02-12,1033042.56,965353.06,67689.50
2024-02-13,1041753.10,964908.77,76844.33
2024-02-14,1047781.60,969967.53,77814.07
2024-02-15,1041447.66,962633.44,78814.22
2024-02-16,1040443.20,969687.35,70755.85
2024-02-17,1021410.57,974336.96,47073.61
2024-02-18,1018490.02,967600.48,50889.54
2024-02-19,1022613.66,953127.16,69486.50
2024-02-20,1029329.25,958001.39,71327.86
2024-02-21,1020283.07,956672.15,63610.91
2024-02-22,1017835.07,965406.49,52428.57
2024-02-23,1035230.42,956895.31,78335.12
2024-02-24,1053003.09,958486.61,94516.47
2024-02-25,1062942.58,960400.16,102542.42
2024-02-26,1074544.53,948864.59,125679.94
2024-02-27,1054283.23,943434.66,110848.57
2024-02-28,1052135.60,942311.60,109823.99
2024-02-29,1046166.47,943293.19,102873.28
2024-02-30,1066285.06,944167.58,122117.48
2024-03-01,1054463.31,944046.89,110416.42
2024-03-02,1042920.92,966647.02,76273.90
2024-03-03,1025776.89,983798.21,41978.69
2024-03-04,1049365.94,987204.85,62161.10
2024-03-05,1043907.54,976423.02,67484.53
2024-03-06,1035312.96,969558.09,65754.87
2024-03-07,1024124.49,974003.12,50121.37
2024-03-08,1027488.88,965580.70,61908.18
2024-03-09,1029642.66,982139.63,47503.03
2024-03-10,1035906.33,986555.85,49350.49
2024-03-11,1047006.27,989701.17,57305.10
2024-03-12,1056104.47,986042.06,70062.41
2024-03-13,1058224.31,976657.45,81566.86
2024-03-14,1043639.08,968964.20,74674.88
2024-03-15,1039177.50,971817.71,67359.79
2024-03-16,1045049.01,969214.69,75834.33
2024-03-17,1027666.46,973587.10,54079.35
2024-03-18,1044308.64,974542.61,69766.03
2024-03-19,1058463.72,977067.56,81396.16
2024-03-20,1036651.13,980506.73,56144.40
2024-03-21,1026578.38,983925.97,42652.41
2024-03-22,1030919.60,982709.18,48210.42
2024-03-23,1032986.05,980704.77,52281.28
2024-03-24,1042847.11,973621.32,69225.80
2024-03-25,1049365.49,975615.05,73750.43
2024-03-26,1051809.35,967802.89,84006.47
2024-03-27,1057601.08,974237.58,83363.50
2024-03-28,1043977.00,973001.97,70975.03
2024-03-29,1037720.86,962645.26,75075.60
2024-03-30,1026560.79,957528.40,69032.39
