date,portfolio_value,benchmark,spread
2024-01-01,997814.55,991143.93,6670.62
2024-01-02,1000326.44,983205.72,17120.73
2024-01-03,1002782.07,990188.37,12593.70
2024-01-04,983610.79,1001881.12,-18270.33
2024-01-05,972503.02,1020870.39,-48367.37
2024-01-06,989659.83,1018087.50,-28427.68
2024-01-07,982989.98,1015345.11,-32355.14
2024-01-08,983303.29,1016370.78,-33067.48
2024-01-09,981517.78,1016858.40,-35340.62
2024-01-10,970664.29,1008772.08,-38107.79
2024-01-11,979912.84,1006484.10,-26571.26
2024-01-12,1001716.60,1006520.84,-4804.25
2024-01-13,1009041.15,1001263.67,7777.48
2024-01-14,1024290.59,1008710.96,15579.63
2024-01-15,1023166.40,1012052.55,11113.84
2024-01-16,1030314.26,1012634.71,17679.55
2024-01-17,1028558.49,1013625.21,14933.27
2024-01-18,1030764.95,1017434.66,13330.29
2024-01-19,1046718.54,1023893.73,22824.81
2024-01-20,1044459.47,1025172.91,19286.56
2024-01-21,1044257.05,1034192.96,10064.08
2024-01-22,1050623.89,1038188.19,12435.70
2024-01-23,1047966.14,1046775.11,1191.03
2024-01-24,1066653.14,1045477.12,21176.02
2024-01-25,1056967.94,1025851.85,31116.09
2024-01-26,1080810.66,1022163.71,58646.94
2024-01-27,1089127.32,1023565.55,65561.77
2024-01-28,1083464.22,1022582.22,60882.00
2024-01-29,1086425.87,1025701.01,60724.86
2024-01-30,1109481.01,1027680.91,81800.10
2024-02-01,1116558.73,1037803.71,78755.03
2024-02-02,1117115.49,1029092.78,88022.71
2024-02-03,1140144.53,1033578.48,106566.05
2024-02-04,1158960.37,1024041.11,134919.25
2024-02-05,1170587.02,1021094.42,149492.60
2024-02-06,1181049.41,1019947.25,161102.16
2024-02-07,1182707.66,999470.86,183236.80
2024-02-08,1176353.76,997631.89,178721.86
2024-02-09,1168781.13,994893.79,173887.34
2024-02-10,1152465.70,992321.56,160144.13
2024-02-11,1150522.68,998174.03,152348.65
2024-02-12,1149114.26,995537.16,153577.10
2024-02-13,1186532.17,999699.37,186832.80
2024-02-14,1185012.07,1002694.00,182318.07
2024-02-15,1202887.40,1001270.50,201616.90
2024-02-16,1206946.16,1006143.24,200802.93
2024-02-17,1224048.97,1006909.81,217139.16
2024-02-18,1232830.29,1003106.31,229723.98
2024-02-19,1244935.95,1010012.71,234923.23
2024-02-20,1252145.19,1019734.82,232410.37
2024-02-21,1247372.55,1019848.98,227523.58
2024-02-22,1257192.36,1019265.15,237927.20
2024-02-23,1246233.69,1002468.28,243765.41
2024-02-24,1230316.38,995616.97,234699.41
2024-02-25,1237420.10,1006038.12,231381.99
2024-02-26,1234864.91,1017287.60,217577.31
2024-02-27,1213553.10,1000406.34,213146.75
2024-02-28,1217951.90,1004065.00,213886.89
2024-02-29,1236707.72,1001425.58,235282.15
2024-02-30,1239213.96,984973.41,254240.55
2024-03-01,1243342.36,980528.22,262814.15
2024-03-02,1233113.43,980355.48,252757.95
2024-03-03,1246119.03,971743.13,274375.91
2024-03-04,1229052.78,962645.40,266407.38
2024-03-05,1250005.01,966724.48,283280.53
2024-03-06,1254359.68,963100.66,291259.02
2024-03-07,1240518.09,973791.15,266726.95
2024-03-08,1227750.57,988390.55,239360.01
2024-03-09,1224376.63,992308.96,232067.67
2024-03-10,1241252.32,995298.39,245953.94
2024-03-11,1239647.73,991846.40,247801.33
2024-03-12,1227043.13,981911.95,245131.19
2024-03-13,1225907.88,991850.31,234057.57
2024-03-14,1218436.17,995394.06,223042.11
2024-03-15,1227232.21,991016.76,236215.45
2024-03-16,1245037.93,995013.67,250024.26
2024-03-17,1248022.35,996854.48,251167.88
2024-03-18,1248418.76,990516.21,257902.55
2024-03-19,1261839.85,990173.98,271665.88
2024-03-20,1263170.12,987039.11,276131.00
2024-03-21,1252941.86,999435.49,253506.37
2024-03-22,1258573.23,998052.40,260520.83
2024-03-23,1246836.72,1011072.43,235764.29
2024-03-24,1218179.24,1016621.41,201557.83
2024-03-25,1217664.55,1021385.38,196279.17
2024-03-26,1234698.62,1026586.56,208112.06
2024-03-27,1245208.82,1019302.07,225906.75
2024-03-28,1257677.27,1021267.71,236409.56
2024-03-29,1250954.04,1019734.90,231219.14
2024-03-30,1257592.86,1012243.72,245349.14
