date,portfolio_value,benchmark,spread
2024-01-01,988708.08,991356.57,-2648.49
2024-01-02,998730.49,992621.27,6109.22
2024-01-03,987928.43,1000265.11,-12336.68
2024-01-04,973685.73,1002108.72,-28422.99
2024-01-05,970190.38,995661.75,-25471.37
2024-01-06,975266.96,993826.41,-18559.45
2024-01-07,982317.39,1003000.46,-20683.07
2024-01-08,987124.30,1021172.40,-34048.10
2024-01-09,993076.91,1030511.08,-37434.17
2024-01-10,991778.16,1034052.29,-42274.13
2024-01-11,967303.73,1049303.14,-81999.41
2024-01-12,970048.95,1044497.22,-74448.26
2024-01-13,968520.33,1042786.53,-74266.20
2024-01-14,969556.35,1049621.06,-80064.70
2024-01-15,956515.09,1047984.07,-91468.98
2024-01-16,967216.33,1061867.74,-94651.42
2024-01-17,967916.07,1067542.67,-99626.59
2024-01-18,971789.36,1075281.17,-103491.80
2024-01-19,957966.25,1085309.09,-127342.84
2024-01-20,936748.36,1083936.40,-147188.03
2024-01-21,953255.72,1074045.66,-120789.94
2024-01-22,935484.77,1074661.63,-139176.86
2024-01-23,907433.19,1065617.42,-158184.23
2024-01-24,928825.35,1066499.79,-137674.44
2024-01-25,945429.61,1061494.87,-116065.27
2024-01-26,947012.20,1052365.64,-105353.44
2024-01-27,927954.52,1045820.61,-117866.09
2024-01-28,945766.50,1041063.54,-95297.04
2024-01-29,952168.46,1044722.99,-92554.52
2024-01-30,965362.25,1047457.90,-82095.65
2024-02-01,960505.66,1040376.27,-79870.61
2024-02-02,969105.07,1019949.41,-50844.35
2024-02-03,963460.43,1021181.95,-57721.52
2024-02-04,960596.66,1019855.79,-59259.13
2024-02-05,965680.04,1022386.91,-56706.87
2024-02-06,944429.32,1011504.66,-67075.34
2024-02-07,947983.44,1022693.82,-74710.38
2024-02-08,941994.45,1023321.35,-81326.90
2024-02-09,940656.91,1019633.76,-78976.85
2024-02-10,936874.05,1010291.89,-73417.85
2024-02-11,917589.07,1013547.04,-95957.97
2024-02-12,911211.91,1018848.36,-107636.45
2024-02-13,902322.28,1027665.13,-125342.85
2024-02-14,897996.39,1023666.86,-125670.47
2024-02-15,881250.13,1022112.63,-140862.50
2024-02-16,881602.25,1030665.51,-149063.26
2024-02-17,879618.04,1035198.97,-155580.93
2024-02-18,893968.51,1033729.71,-139761.20
2024-02-19,882304.58,1037999.93,-155695.35
2024-02-20,885603.69,1024246.54,-138642.85
2024-02-21,890445.25,1022091.13,-131645.88
2024-02-22,893517.96,1022720.32,-129202.37
2024-02-23,903720.53,1027498.42,-123777.90
2024-02-24,899518.03,1022173.11,-122655.08
2024-02-25,896945.02,1023799.20,-126854.17
2024-02-26,890307.54,1021305.04,-130997.50
2024-02-27,899327.35,1024691.07,-125363.72
2024-02-28,903927.23,1013371.55,-109444.32
2024-02-29,913228.15,1013323.61,-100095.45
2024-02-30,905605.63,1007690.96,-102085.33
2024-03-01,906368.35,995131.58,-88763.23
2024-03-02,905858.31,994747.69,-88889.38
2024-03-03,897213.75,998312.96,-101099.21
2024-03-04,913762.66,1000012.30,-86249.64
2024-03-05,922865.28,998549.50,-75684.22
2024-03-06,917306.88,994290.92,-76984.04
2024-03-07,921108.64,993965.31,-72856.67
2024-03-08,928983.03,995523.17,-66540.13
2024-03-09,920821.00,997457.07,-76636.07
2024-03-10,929560.33,1003259.85,-73699.52
2024-03-11,935106.51,1008767.44,-73660.93
2024-03-12,924752.32,1008139.05,-83386.73
2024-03-13,941655.27,1011582.95,-69927.68
2024-03-14,933060.56,1006035.38,-72974.82
2024-03-15,926039.31,1011911.02,-85871.72
2024-03-16,938132.11,1001348.97,-63216.86
2024-03-17,949123.96,1000811.44,-51687.47
2024-03-18,943319.02,1004758.29,-61439.27
2024-03-19,936865.52,1008314.29,-71448.78
2024-03-20,926553.80,1012413.78,-85859.98
2024-03-21,919794.92,1005441.07,-85646.15
2024-03-22,901753.45,1008551.06,-106797.61
2024-03-23,902984.62,1012948.22,-109963.60
2024-03-24,914220.59,1015358.75,-101138.16
2024-03-25,919798.43,1006979.62,-87181.20
2024-03-26,909295.17,999224.50,-89929.34
2024-03-27,922696.61,1001340.62,-78644.01
2024-03-28,937861.17,999048.51,-61187.33
2024-03-29,932694.26,1003104.18,-70409.92
2024-03-30,936477.82,1022525.66,-86047.84
