date,portfolio_value,benchmark,spread
2024-01-01,985918.08,1001118.11,-15200.03
2024-01-02,986065.88,985390.90,674.98
2024-01-03,994281.92,977064.93,17216.98
2024-01-04,996488.14,966600.53,29887.61
2024-01-05,997902.93,965504.05,32398.88
2024-01-06,995618.70,954249.32,41369.38
2024-01-07,1006938.29,943795.49,63142.80
2024-01-08,992181.13,963322.78,28858.35
2024-01-09,980861.10,965067.32,15793.78
2024-01-10,980742.78,959451.60,21291.18
2024-01-11,984386.35,963708.80,20677.56
2024-01-12,973161.41,968794.15,4367.27
2024-01-13,997798.34,958647.73,39150.61
2024-01-14,996028.67,965457.12,30571.56
2024-01-15,990310.16,983346.53,6963.63
2024-01-16,998392.72,992560.90,5831.82
2024-01-17,980882.95,981464.56,-581.61
2024-01-18,984368.54,976202.86,8165.68
2024-01-19,979104.40,978865.05,239.36
2024-01-20,969824.25,977927.90,-8103.65
2024-01-21,978007.83,967232.05,10775.78
2024-01-22,970427.36,972004.16,-1576.80
2024-01-23,981040.92,977490.04,3550.87
2024-01-24,970905.21,972356.13,-1450.92
2024-01-25,955628.52,981033.53,-25405.01
2024-01-26,946066.56,987762.19,-41695.63
2024-01-27,940241.75,974845.77,-34604.02
2024-01-28,933555.77,988436.17,-54880.39
2024-01-29,935426.48,992980.58,-57554.10
2024-01-30,928106.71,998530.38,-70423.68
2024-02-01,930642.99,991940.38,-61297.39
2024-02-02,921260.47,998889.54,-77629.07
2024-02-03,907268.67,1006571.90,-99303.23
2024-02-04,904412.33,998648.76,-94236.43
2024-02-05,921011.06,1007496.02,-86484.96
2024-02-06,927476.07,1002950.46,-75474.38
2024-02-07,912684.76,1007018.98,-94334.22
2024-02-08,929884.39,991085.54,-61201.14
2024-02-09,917600.47,988083.80,-70483.33
2024-02-10,920680.09,983318.67,-62638.58
2024-02-11,918351.50,989370.52,-71019.01
2024-02-12,923029.00,979831.42,-56802.42
2024-02-13,942328.38,988118.32,-45789.94
2024-02-14,946259.16,976587.36,-30328.20
2024-02-15,948192.60,990516.14,-42323.54
2024-02-16,953177.15,985241.05,-32063.91
2024-02-17,926346.26,983572.11,-57225.85
2024-02-18,940137.23,971518.03,-31380.79
2024-02-19,945914.31,970490.72,-24576.41
2024-02-20,945292.69,974767.25,-29474.56
2024-02-21,939290.97,986186.40,-46895.44
2024-02-22,941018.79,983606.03,-42587.24
2024-02-23,941498.19,981820.08,-40321.89
2024-02-24,937453.84,987635.47,-50181.63
2024-02-25,950037.20,985007.24,-34970.04
2024-02-26,939125.02,989122.17,-49997.15
2024-02-27,936869.24,982235.60,-45366.37
2024-02-28,943156.75,979557.62,-36400.87
2024-02-29,944466.63,973998.26,-29531.63
2024-02-30,924538.52,975062.95,-50524.43
2024-03-01,921791.00,975902.51,-54111.51
2024-03-02,919481.08,971986.42,-52505.34
2024-03-03,913529.51,963688.89,-50159.37
2024-03-04,907733.03,954891.62,-47158.59
2024-03-05,911904.53,950950.15,-39045.62
2024-03-06,912197.04,949062.04,-36865.01
2024-03-07,909309.65,958251.01,-48941.36
2024-03-08,919605.22,942881.48,-23276.26
2024-03-09,911572.55,938910.58,-27338.02
2024-03-10,891481.99,943942.69,-52460.70
2024-03-11,877218.39,931557.35,-54338.96
2024-03-12,892430.88,930030.50,-37599.63
2024-03-13,881181.67,935176.03,-53994.36
2024-03-14,884708.46,941929.82,-57221.35
2024-03-15,883246.24,939015.99,-55769.76
2024-03-16,883077.21,938693.77,-55616.56
2024-03-17,875433.53,933722.74,-58289.21
2024-03-18,895182.04,945607.91,-50425.87
2024-03-19,890301.20,944601.11,-54299.91
2024-03-20,893223.80,942553.65,-49329.84
2024-03-21,896002.42,951727.97,-55725.55
2024-03-22,892602.58,966621.80,-74019.22
2024-03-23,903115.71,965840.70,-62724.99
2024-03-24,902755.85,966555.62,-63799.77
2024-03-25,915578.14,966628.53,-51050.39
2024-03-26,917352.66,965868.67,-48516.01
2024-03-27,919529.66,964470.81,-44941.15
2024-03-28,899064.92,962588.75,-63523.83
2024-03-29,895458.21,953073.73,-57615.52
2024-03-30,882253.67,939977.70,-57724.03
