date,portfolio_value,benchmark,spread
2024-01-01,1001510.17,991369.19,10140.98
2024-01-02,995386.35,984368.60,11017.75
2024-01-03,984116.35,992122.37,-8006.03
2024-01-04,979918.61,984735.88,-4817.27
2024-01-05,988011.87,999989.51,-11977.63
2024-01-06,972772.10,994097.20,-21325.10
2024-01-07,972204.16,986705.35,-14501.19
2024-01-08,947743.54,988021.79,-40278.25
2024-01-09,949679.54,986898.69,-37219.15
2024-01-10,943198.58,987470.79,-44272.21
2024-01-11,942614.59,970129.48,-27514.88
2024-01-12,936511.27,961134.87,-24623.61
2024-01-13,924671.88,952706.66,-28034.78
2024-01-14,928028.30,959266.41,-31238.11
2024-01-15,918890.47,948695.56,-29805.09
2024-01-16,936243.21,953409.99,-17166.78
2024-01-17,915822.39,949955.31,-34132.92
2024-01-18,908303.55,948141.44,-39837.89
2024-01-19,923364.20,945641.46,-22277.26
2024-01-20,931219.30,951179.68,-19960.38
2024-01-21,940937.79,957242.10,-16304.32
2024-01-22,941979.42,955304.44,-13325.01
2024-01-23,932357.25,958891.97,-26534.72
2024-01-24,934168.14,965436.19,-31268.05
2024-01-25,917445.25,956068.63,-38623.38
2024-01-26,923281.94,950862.04,-27580.10
2024-01-27,929189.97,946972.77,-17782.80
2024-01-28,932668.54,948868.14,-16199.60
2024-01-29,930471.32,952423.27,-21951.94
2024-01-30,920143.67,965872.19,-45728.52
2024-02-01,914080.32,974630.86,-60550.54
2024-02-02,910001.79,967175.34,-57173.55
2024-02-03,906690.19,973509.10,-66818.91
2024-02-04,911443.21,960156.14,-48712.93
2024-02-05,910063.44,951450.67,-41387.23
2024-02-06,907412.65,955401.83,-47989.18
2024-02-07,922746.40,947500.29,-24753.90
2024-02-08,928280.57,958188.57,-29908.00
2024-02-09,932181.65,958182.08,-26000.43
2024-02-10,928086.74,961640.74,-33553.99
2024-02-11,927049.91,957532.77,-30482.87
2024-02-12,917087.57,965055.84,-47968.27
2024-02-13,911134.76,960556.52,-49421.75
2024-02-14,920942.54,971887.45,-50944.91
2024-02-15,926262.99,969556.05,-43293.06
2024-02-16,942737.42,961201.71,-18464.29
2024-02-17,902893.79,968003.97,-65110.18
2024-02-18,909106.13,952835.95,-43729.82
2024-02-19,919260.25,957860.32,-38600.07
2024-02-20,927499.88,947088.87,-19588.99
2024-02-21,936411.93,946673.65,-10261.72
2024-02-22,930478.12,969642.00,-39163.88
2024-02-23,932156.77,961785.42,-29628.65
2024-02-24,940900.39,964641.76,-23741.37
2024-02-25,935138.98,975967.60,-40828.62
2024-02-26,942196.04,983911.44,-41715.40
2024-02-27,938484.19,989108.04,-50623.85
2024-02-28,958230.18,982032.77,-23802.59
2024-02-29,963863.00,971437.48,-7574.48
2024-02-30,967496.15,975975.06,-8478.91
2024-03-01,976102.36,974257.34,1845.02
2024-03-02,969794.05,960051.58,9742.46
2024-03-03,974510.43,961576.58,12933.85
2024-03-04,965183.02,959271.38,5911.64
2024-03-05,946483.38,966339.47,-19856.09
2024-03-06,937820.27,961017.55,-23197.28
2024-03-07,938408.55,958142.11,-19733.56
2024-03-08,942648.04,957172.82,-14524.77
2024-03-09,959556.06,956339.47,3216.60
2024-03-10,970619.45,946383.92,24235.53
2024-03-11,966948.25,951296.30,15651.95
2024-03-12,953132.12,952956.95,175.17
2024-03-13,956654.62,965700.12,-9045.49
2024-03-14,948748.57,977983.00,-29234.42
2024-03-15,954267.20,970873.07,-16605.88
2024-03-16,955410.15,981623.32,-26213.17
2024-03-17,941667.44,986395.06,-44727.62
2024-03-18,924746.96,967336.34,-42589.37
2024-03-19,935213.41,969813.83,-34600.42
2024-03-20,926113.06,978634.46,-52521.41
2024-03-21,926242.78,979244.17,-53001.38
2024-03-22,921475.57,968111.73,-46636.16
2024-03-23,920986.15,980492.08,-59505.93
2024-03-24,912653.98,979946.42,-67292.44
2024-03-25,906386.44,977333.76,-70947.32
2024-03-26,898726.17,972454.31,-73728.14
2024-03-27,904208.87,984703.24,-80494.37
2024-03-28,915747.24,988678.88,-72931.64
2024-03-29,905956.06,989214.21,-83258.15
2024-03-30,909794.91,991200.65,-81405.73
